"test_number","section","question_number","word_bank","passage","question_text","choices","correct_answer","notes"
"11","Grammar","2","けっか, といっても, にたいして, にしても, ものの","","1日10分の勉強を2年続けた(　)、JLPTのN1に合格することができた。","","けっか",""
"11","Grammar","3","けっか, といっても, にたいして, にしても, ものの","","高いバッグを買った(　)、使うチャンスが全然ない。","","ものの",""
"11","Grammar","4","けっか, といっても, にたいして, にしても, ものの","","A:毎日、自分でご飯を作ってるんですか？すごいですね。B：いえ、いえ、ご飯(　)簡単なものですよ。","","といっても",""
"11","Grammar","5","","","今日は暖かいというよりも(　)です。5月なのに30度もあります。","寒い,暑い,涼しい,冷たい","暑い",""
"11","Grammar","6","","","日本人にとって音を立ててそばを食べるのは普通だが、外国人(　)変な習慣だろう","からすると,にしても,にたいして,のだから","からすると",""
"11","Grammar","7","","","このメガネは丈夫で、割れ(　)です","がたい,ずらい,にくい,やすい","にくい",""
"11","Grammar","8","","","最近、若者の間で、田舎での生活の良さが(　)そうだ","見直しつつある,見直されつつある,見直している,見直される","見直されつつある",""
"11","Grammar","9","","","リンさんから電話があって、今日は休みたい(　)です","","とのこと",""
"11","Reading","1","","「年齢別に見た、独身にとどまっている理由」についての調査によると、「なぜ結婚しないのか」という質問に対して、「適当な相手に巡り会わない」と言う答えが1番になっています。

私もいつかは私に合った人に巡り会いたいと思いますが、それがいつになるかは誰にもわかりません。また、1人で自由でいたいとか、結婚の必要性を感じないと思う人が多いようですが、今は私もそう思います。親からすると子供がいつまでも結婚したがらないのは心配かもしれないけど、私は早く結婚しなければならないとは思いません。結婚したくないというよりも、今はやりたいことがあってまだ結婚する必要はないと思っているからです。結婚は周りの人が決めるものではありません。いつ結婚するかは個人の自由なのではないでしょうか。","この人は結婚するかどうかは周りの人が決めるものだと思っています。","","❌",""
"11","Reading","2","","「年齢別に見た、独身にとどまっている理由」についての調査によると...（略）","この人は結婚する必要はないと思っているので、生涯独身のままでいいと思っています","","❌",""
"11","Reading","3","","「年齢別に見た、独身にとどまっている理由」についての調査によると...（略）","この人は、親が自分の結婚について心配しているのは理解していますが、今はやりたいことがあるので、まだ結婚する必要はないと思っています","","✅",""
"11","Reading","4","","「年齢別に見た、独身にとどまっている理由」についての調査によると...（略）","この人は1人で自由でいたいと思っているので、自分に合った人に巡り合う必要はないと思います","","❌",""
"11","Reading","5","","「子供が生まれたら育児休業を取得させていただきます」

妻の妊娠がわかった報告と一緒に上司に伝えました。取得中は代員が配置されることや、比較的休みが取りやすい職場だったということも理解を得やすい環境であったと思います。同僚も快く賛成してくれました。特に女性の方々からは「そうだ！男性も育休を取ったほうがいい！」「これから男性も育児に参加しなくちゃ！」というような応援の声が多かったと記憶しています。

まず、なぜ育児休業を取得しようと思ったのか。それは、何より子供を優先して生活する時間が、自分の人生の中にあっても良いと思ったからです。瞬く間に過ぎていくであろう、生まれて間もない期間。その限られた時間を毎日ずっと一緒に過ごせるのは、きっと素敵なことだろうと想像していました。そんな時ぐらい仕事のことを忘れたい、と育児休業を取得することを決めました。

そして、2007年12月1日、男の子が生まれました。

私の場合は、約2ヶ月間(妻の産後休暇中に取得したため)という短い期間でした。現在の制度では、夫婦ともに育児休業を取得することができないため、産後休暇満了後からの育児休業は妻に譲りました。できることなら、妻が復帰した後にもう一度取得したいくらいです。

私の家では犬も一緒に暮らしていることもあり、出産後少しの期間、彼女は実家に帰っていました。その期間は毎日自宅と彼女の実家を財布とビデオカメラ片手に往復していました。毎日自分の目の前でどんどん成長していく彼が愛おしくてたまりませんでした。授乳以外のことは何でも率先してやることで妻をサポートしてきたつもりです。お腹がすいて泣いている彼は当然抱いていても泣き止みません。「なんで自分は母乳が出ないんだ…」と悩んだ時期もありました(笑)。もし私にも母乳が出ていたら、きっと現在育児休業中なのは妻ではなく私だったはずです。

復帰した今でもできる限り早く帰るようにしています。そして、今ではハイハイで迎えてくれる息子の笑顔に日々癒され、毎日の仕事にもさらに身が入る今日このごろです。","筆者は子供が生まれてから、育児休業を取ることを上司に伝えました","","❌",""
"11","Reading","6","","「子供が生まれたら育児休業を取得させていただきます」...（略）","筆者の職場は、男性が育児休業を取ることについて、理解してもらえないところです","","❌",""
"11","Reading","7","","「子供が生まれたら育児休業を取得させていただきます」...（略）","本文には、夫婦が同じ時に育児休業を取ることができないと書いてあります","","✅",""
"11","Reading","8","","「子供が生まれたら育児休業を取得させていただきます」...（略）","筆者は男性のため、授乳ができないので、息子がお腹が空いて泣いている時、母乳が出ないことに悩んでしまって、息子を抱くことができませんでした","","❌",""
"11","Reading","9","","「子供が生まれたら育児休業を取得させていただきます」...（略）","妻が職場に復帰してから、筆者はできるだけ早く帰るようにしています","","❌",""
"12","Vocabulary","1","かならずしも, きのう, こうか, こうたい, じょじょに, すききらい, というのは, ところで, ブーム, レベル","","アルバイトの時、みんなで(　)で休憩を取ります","","こうたい",""
"12","Vocabulary","2","かならずしも, きのう, こうか, こうたい, じょじょに, すききらい, というのは, ところで, ブーム, レベル","","今日は暑いね。(　)、今日は午後暇？","","ところで",""
"12","Vocabulary","3","かならずしも, きのう, こうか, こうたい, じょじょに, すききらい, というのは, ところで, ブーム, レベル","","健康のために運動を始めても、続けなければ(　)ができない","","こうか",""
"12","Vocabulary","4","かならずしも, きのう, こうか, こうたい, じょじょに, すききらい, というのは, ところで, ブーム, レベル","","ハンサムな男性が、(　)女性に人気があるとは言えない","","かならずしも",""
"12","Vocabulary","5","かならずしも, きのう, こうか, こうたい, じょじょに, すききらい, というのは, ところで, ブーム, レベル","","ヨーロッパで日本のアニメが(　)になっている","","ブーム",""
"12","Vocabulary","6","おわれて, さまして, せいしんてきな, とった, とれた, ぬいて, ふきそくな, しゅうちゅうてきな, よぶんな, わいて","",(　)生活を続けていると、体の調子が悪くなりますよ","","ふきそくな",""
"12","Vocabulary","7","おわれて, さまして, せいしんてきな, とった, とれた, ぬいて, ふきそくな, しゅうちゅうてきな, よぶんな, わいて","","栄養バランスが(　)料理を作ります","","とれた",""
"12","Vocabulary","8","おわれて, さまして, せいしんてきな, とった, とれた, ぬいて, ふきそくな, しゅうちゅうてきな, よぶんな, わいて","","落としたら大変なので、(　)お金は持ち歩かないほうがいい","","よぶんな",""
"12","Vocabulary","9","おわれて, さまして, せいしんてきな, とった, とれた, ぬいて, ふきそくな, しゅうちゅうてきな, よぶんな, わいて","","カラオケで好きな歌を歌うと、ストレスも発散できて、食欲も(　)きますよ","","わいて",""
"12","Vocabulary","10","おわれて, さまして, せいしんてきな, とった, とれた, ぬいて, ふきそくな, しゅうちゅうてきな, よぶんな, わいて","","毎日のアルバイトに(　)、落ち着いて勉強することができない","","おわれて",""
"12","Grammar","1","","","仕事が忙しすぎて、ストレスが止まる(　)","気味だ,ということだ,とは限らない,一方だ","一方だ",""
"12","Grammar","2","","","試験の結果(　)、次のクラスを決めます","に対して,に応じて,から見て,につれて","に応じて",""
"12","Grammar","3","","","専門学校に行く(　)大学に行く(　)、日本語能力試験は受けておいたほうがいい","とか／とか,にしろ／にしろ,やら／やら,など／など","にしろ／にしろ",""
"12","Grammar","4","","","東京の車の数は(　)一方だ","増加する,増加している,増加した,増加の","増加する",""
"12","Grammar","5","","","私は子供の頃、病気(　)学校を休むことが多かった","やすくて,っぽくて,気味で,がちで","がちで",""
"12","Grammar","6","","","私(　)、それは大きな問題ではない","に対して,について,にとって,によって","にとって",""
"12","Grammar","7","","","A:今度初めてスキーに行くんだけど、できるかどうか心配だなぁ… B:スキー(　)そんなに難しくないよ。心配しないで。","なんて,について,にしても,といったら","なんて",""
"12","Grammar","8","","","今日のテストのことを()(⭐️)()()いませんでした","ひとり,覚えて,として,だれ","ひとり","正しい順序: 覚えてひとりだれとしていませんでした"
"12","Grammar","9","","","歳をとっても、体が()(⭐️)()()何でもできます","あれば,さえ,丈夫,で","で","正しい順序: 丈夫でさえあれば"
"12","Reading","1","","Aさんの意見
最近の健康文具のためでしょうか？　酒やタバコ、あるいはケーキやお菓子などを体に良くないからとか太るからとかの理由で、我慢する人が増えています。でも、私はそれは意味のないことだと思います。私も周りの人からタバコの吸いすぎだとよく言われますが、そんなことは気にしません。タバコや酒は自分へのプレゼントです。それを我慢したら、かえってストレスがたまって体の調子が悪くなってしまいます。好きなものは我慢しないで、たくさん食べたり飲んだりして楽しみたいです。

Bさんの意見
酒やタバコが体に良くないからといって、我慢しすぎるのは精神的に良くないと思います。私の祖父はタバコが大好きでしたが、元気に95歳まで生きました。よく「タバコなんて吸うものじゃない。何一つとして良いところはない」と言う人がいますが、私はその考え方は間違っていると思います。集中的に仕事をした後に数一本のタバコは、最高の幸せというものです。そして、お酒が好きな人やタバコを吸う人が誰でも癌になるとは限りません。他人に迷惑をかけなければ、ストレス解消のために楽しく飲んだり食べたりしたほうがいいと思います。","AさんもBさんもストレス解消のためにお酒を飲んで他の人に迷惑をかけてもかまわないと思っています","","❌",""
"12","Reading","2","","Aさんの意見...（略）","AさんもBさんもお酒やタバコが好きな人がみんな癌になるわけではないと思っています","","❌",""
"12","Reading","3","","Aさんの意見...（略）","Aさんは好きなものを我慢したらかえって体の調子が悪くなると言っています","","✅",""
"12","Reading","4","","Aさんの意見...（略）","Bさんはタバコは体に良いことが1つもないと思っています","","❌",""
"12","Reading","5","","私たちの体には、体内時計と呼ばれる機能があります。
体内時計の時間は、1日約25時間です。地球の回転に合わせた私たちの1日24時間という生活時間と1時間ずれているのです。
体内時計を私たちの生活時間に合わせることが健康につながるということが、最近の研究でわかってきました。その実践方法ですが、意外に簡単。毎日朝ごはんを食べるだけでいいのです。朝ごはんを食べることで、1日約25時間の体内時計がリセットされるのです。
体内時計は朝ご飯を食べないと、実際の生活時間とずれていき、頭や体が十分に働かない時差ぼけのような状態になったり、体調を崩したりしてしまいます。
そうはいっても、朝は食欲がわかないという人もいるでしょう。そういう人は、朝起きてすぐに水や牛乳、野菜ジュースなどを飲んで胃を目覚めさせるのがオススメです。今は朝食に何も食べていないという人も、まずは乳製品、果物、野菜ジュースなど、食べやすいものから口に入れてみましょう。時間のない人は、前日の食事を取り分けておいたり、冷凍おにぎりやパンなど簡単に食べられるものを用意しておくと良いでしょう。
夜遅い時間に食事をする人も増えてきているようです。特に、働いている人は食事時間が不規則になりがちです。夜遅い時間に食事をすると、カロリーが消費されにくいので、余分なエネルギーが脂肪として体に たまりやすくなります。そのため太りやすくなるのです。また、翌朝、食欲がなくて朝食が食べられない原因にもなります。夕食の時間が遅いと寝る時間も遅くなってしまいます。きちんと睡眠時間を取らないと、心身の疲れが取れません。できるだけ、早めに晩ご飯を食べ、十分に眠って、朝しっかりと朝食を取って、規則正しい生活リズムを心がけましょう。","私たちの体内時計は1日約25時間で、地球の回転に合わせた1日の生活時間と合っていません","","✅",""
"12","Reading","6","","私たちの体には、体内時計と呼ばれる機能があります。...（略）","朝、何も食べたくない人は、起きてすぐに何か飲んで胃を目覚めさせるといいです","","✅",""
"12","Reading","7","","私たちの体には、体内時計と呼ばれる機能があります。...（略）","朝、時間がない人は冷凍おにぎりやパンなどを用意しなければなりません","","❌",""
"12","Reading","8","","私たちの体には、体内時計と呼ばれる機能があります。...（略）","夜遅い時間に食事をすると、翌朝食欲がなくなって、朝ご飯が食べられなくなるかもしれません","","✅",""
"12","Reading","9","","私たちの体には、体内時計と呼ばれる機能があります。...（略）","心身の疲れが取れないことは、夕食を遅く食べることと全然関係がありません","","❌",""
"13","Vocabulary","1","いよいよ, がた, かっき, しょくたく, しょくどう, どうしても, ところが, なんとか, めん, ゆうき","","最近のは家族みんで(　)を囲んで食事することが少なくなった","","しょくたく",""
"13","Vocabulary","2","いよいよ, がた, かっき, しょくたく, しょくどう, どうしても, ところが, なんとか, めん, ゆうき","","この町は店がたくさんあり、人も多くて、とても(　)があります","","かっき",""
"13","Vocabulary","3","いよいよ, がた, かっき, しょくたく, しょくどう, どうしても, ところが, なんとか, めん, ゆうき","","(　)夏休みが始まる。どこへ遊びに行こうか？","","いよいよ",""
"13","Vocabulary","4","いよいよ, がた, かっき, しょくたく, しょくどう, どうしても, ところが, なんとか, めん, ゆうき","","大変だったが、(　)頑張ってレポートを完成させることができた","","なんとか",""
"13","Vocabulary","5","いよいよ, がた, かっき, しょくたく, しょくどう, どうしても, ところが, なんとか, めん, ゆうき","","今日の新聞の第一(　)には、飛行機事故の記事が出ていた","","めん",""
"13","Vocabulary","6","あこがれ, あやまら, きょうどうで, こぼして, シーン, つまって, ひきうけられ, よせられ, リポート, れんぞくで","","そのテレビ番組の内容に対して、多くの意見が(　)ました","","よせられ",""
"13","Vocabulary","7","あこがれ, あやまら, きょうどうで, こぼして, シーン, つまって, ひきうけられ, よせられ, リポート, れんぞくで","","昨日見たドラマは、意外な展開の(　)、最後までドキドキしました","","れんぞくで",""
"13","Vocabulary","8","あこがれ, あやまら, きょうどうで, こぼして, シーン, つまって, ひきうけられ, よせられ, リポート, れんぞくで","","電車の中で足を踏まれたが、相手は(　)ずに電車を降りて行ってしまった","","あやまら",""
"13","Vocabulary","9","あこがれ, あやまら, きょうどうで, こぼして, シーン, つまって, ひきうけられ, よせられ, リポート, れんぞくで","","急いで飲もうとして、コーヒーを(　)しまった","","こぼして",""
"13","Vocabulary","10","あこがれ, あやまら, きょうどうで, こぼして, シーン, つまって, ひきうけられ, よせられ, リポート, れんぞくで","","「山田さん、イベント会場の様子はどうですか？(　)してください。」","","リポート",""
"13","Grammar","1","しかない, せずにはいられない, とともに, によって, のみならず","","毎年、お正月は家族と(　)過ごすことにしている","","とともに",""
"13","Grammar","2","しかない, せずにはいられない, とともに, によって, のみならず","","この国の日中はとても暑いので、昼寝を(　)そうです","","せずにはいられない",""
"13","Grammar","3","しかない, せずにはいられない, とともに, によって, のみならず","","最近の大雨(　)野菜の値段が上がっている","","によって",""
"13","Grammar","4","しかない, せずにはいられない, とともに, によって, のみならず","","日本の料理はアジア(　)世界中で人気があります","","のみならず",""
"13","Grammar","5","","","新曲発売に(　)、ファンイベントが行われた","につけ,に先立って,をもとに,次第","に先立って",""
"13","Grammar","6","","","たとえみんなに反対された(　)、私は自分の意見の変えるつもりはない","ながらも,としても,ものの,せいで","としても",""
"13","Grammar","7","","","電車が止まってしまった(　)、動くまで待つしかない","だけに,結果,につき,ので","ので",""
"13","Grammar","8","","","息子はよく車で出かけるので、いつも(　)","心配しかない,心配させずにはいられない,心配させられる,心配というものだ","心配させられる",""
"13","Grammar","9","","","メールは、便利な(　)で、手紙を書けなくなるという面がある","ばかりで,からこそ,とともに,一方で","一方",""
"13","Reading","1","","私はロシアの大学で日本文化を専攻しています。短期留学で今、日本に来ています。私は日本の漫画「NARUTO」が大好きです。特に、主人公のナルトが仲間たちとともに大きな夢に向かっていくところが好きです。読んでいると、一生懸命になれるものを見つけたら、あきらめないで頑張るというメッセージが伝わってきます

国にいた時から、私の周りでは日本の漫画がとても人気で、友達が集まるとよく漫画の話をしていました。その時、ナルトのことをもっとよく知るには、日本へ行くしかないと思いました。実際、日本へ来て、たくさんのナルトファンの友達にも会えてとても幸せです。何といってもうれしいのは、読みたい漫画がすぐに手に入ることです。今はイベントがあると、参加しないではいられません。これからも「NARUTO」を読んで勇気と元気をもらって、強い気持ちで進んでいきたいです。","この人は日本に留学して、日本の大学で文学を勉強しています","","❌",""
"13","Reading","2","","私はロシアの大学で日本文化を専攻しています。...（略）","この人にとって1番うれしいのは、読みたい漫画をすぐに手に入れられることです","","✅",""
"13","Reading","3","","私はロシアの大学で日本文化を専攻しています。...（略）","ブログには主人公のナルトが家族と一緒に大きな夢に向かっていくところが好きだと書いてあります","","❌",""
"13","Reading","4","","私はロシアの大学で日本文化を専攻しています。...（略）","この人はイベントがあると、参加しないようにしています","","❌",""
"13","Reading","5","","TFTを知っていますか？TFTというのはTABLE FOR TWOの略称です。まず企業や大学などの食堂でカロリーの低い健康的な食事を提供します。代金にはアフリカの子供の1食分に当てる20円を上乗せし、これがTFTに寄付されます。TFTはアフリカのNPOなどを通じて給食を提供します。これがTFTの仕組みです。時間と空間の超えて食べ物を分け合うイメージです。

世界では現在、先進国を中心に約10億人が太り過ぎなどの生活習慣病に悩んでいます。その一方、ほぼ同じ数の人が発展途上国で飢えに苦しんでいます。この問題を解決しようと小暮真久さんが2007年から始めたのが、「2人のための食卓」という意味のTABLE FOR TWOです。

この活動は肥満や生活習慣病を予防しながら気軽に参加できる会社貢献活動としてあっという間に広がりました。企業だけでなく一般市民も参加しやすいように、人気メニューを集めたレシピ本が出版され、本の代金のうち20円がTFTの活動に役立てられています。

最近では、コンビニやファミリーレストラン、喫茶店などとも協働し、いろいろな企画が考えられ実行されています。コンビニではカロリーオフのあめやガムが売れ出され、さらにTFTのヘルシーメニューは結婚パーティーの料理など、さまざまな場面でも取り入れられてきています。

小暮さんはインタビューの中でこう語っています。
「どうしたら皆が幸せになれるのだろう。まず身近な食料問題を解決するため、友達と考え出した仕組みがTFTです。この事業に専念するために企業をしました。」

「アフリカの子供たちは給食を本当においしそうに残さず食べてくれます。その笑顔を見ると、最高の喜びを感じます。笑顔こそが私たちの活動の成果です。

この日本発のユニークな取り組みに対して、各国の関心は高く、TFTへの参加の問い合わせが寄せられているそうです。現在、この取り組みはアメリカや他のアジアの国々などにも広がっています。

子供たちにより良い未来を生きてもらいたいという思いがTFTの活動によって時間と空間を超え、人と人、国と国を確かにつないでいます。たった20円で誰でも気軽に社会に貢献できるTFTの広がりが期待されます。","TFTは発展途上国の子供たちに直接学校給食を提供しています","","❌",""
"13","Reading","6","","TFTを知っていますか？...（略）","「2人のための食卓」の「2人」とは、生活習慣病に悩んでいる人と飢えに苦しんでいる人のことです","","✅",""
"13","Reading","7","","TFTを知っていますか？...（略）","TFTの活動は企業や大学などで行われていますが、誰でも簡単に参加できるわけではありません","","❌",""
"13","Reading","8","","TFTを知っていますか？...（略）","TFTの健康的な料理は人気のメニューを集めたレシピ本が出版されるだけでなく、結婚パーティーの料理などにも使われています","","✅",""
"13","Reading","9","","TFTを知っていますか？...（略）","とても少ない金額で、誰でも気軽に社会に貢献できる活動なので、TFTは今後も広がっていくことが期待されています","","✅",""
"14","Vocabulary","1","あん, いっしゅん, いっせいに, かいけい, きょくせん, さ, せきにん, ちえ, トラブル, ハンガー","","あの人はいつも(　)を起こすので、困っています","","トラブル",""
"14","Vocabulary","2","あん, いっしゅん, いっせいに, かいけい, きょくせん, さ, せきにん, ちえ, トラブル, ハンガー","","給料をもらっているのだから、その仕事に(　)を持たなければならない","","せきにん",""
"14","Vocabulary","3","あん, いっしゅん, いっせいに, かいけい, きょくせん, さ, せきにん, ちえ, トラブル, ハンガー","","グループでこの問題の解決(　)を出し合ってください","","あん",""
"14","Vocabulary","4","あん, いっしゅん, いっせいに, かいけい, きょくせん, さ, せきにん, ちえ, トラブル, ハンガー","","事故はほんの(　)のことだったので、その時の様子ははっきり覚えていません","","いっしゅん",""
"14","Vocabulary","5","あん, いっしゅん, いっせいに, かいけい, きょくせん, さ, せきにん, ちえ, トラブル, ハンガー","","マラソンが始まると、選手たちは(　)走り出した","","いっせいに",""
"14","Vocabulary","6","あって, おこって, かんじょう, かんしん, きになって, だいじな, ちって, なかがいい, ひかって, きをくばって","","彼はいつも熱心に働くので、みんな(　)している","","かんしん",""
"14","Vocabulary","7","あって, おこって, かんじょう, かんしん, きになって, だいじな, ちって, なかがいい, ひかって, きをくばって","","交通事故に(　)入院した","","あって",""
"14","Vocabulary","8","あって, おこって, かんじょう, かんしん, きになって, だいじな, ちって, なかがいい, ひかって, きをくばって","","試験の結果が(　)眠れない","","きになって",""
"14","Vocabulary","9","あって, おこって, かんじょう, かんしん, きになって, だいじな, ちって, なかがいい, ひかって, きをくばって","","強い風と雨で、桜の花が(　)しまった","","ちって",""
"14","Vocabulary","10","あって, おこって, かんじょう, かんしん, きになって, だいじな, ちって, なかがいい, ひかって, きをくばって","","私たちほんとに(　)姉妹なんです","","なかがいい",""
"14","Grammar","1","いらい, うる, えない, どころか, ならない, んだろう","","自分がしたことではないのに謝るなんて不思議で(　)","","ならない",""
"14","Grammar","2","いらい, うる, えない, どころか, ならない, んだろう","","天気がいいので、窓から富士山が見える。なんてきれいな(　)","","んだろう",""
"14","Grammar","3","いらい, うる, えない, どころか, ならない, んだろう","","どんな場合にも事故は起こり(　)","","うる",""
"14","Grammar","4","いらい, うる, えない, どころか, ならない, んだろう","","日本に来たばかりの頃は、簡単な会話(　)、あいさつさえできなかった","","どころか",""
"14","Grammar","5","","","あそこで楽し(　)話している人は誰？","げに,ように,っぽく,気味に","げに",""
"14","Grammar","6","","","この商品は店(　)置いていないところもあります","のみならず,にかぎらず,ばかりか,によっては","によっては",""
"14","Grammar","7","","","この割引券は、この店(　)、全国どの店でも利用できます","以来,であるばかりか,にかぎらず,どころか","にかぎらず",""
"14","Grammar","8","","","窓を開けた(　)、鳥が入ってきた","かと思うと,とたん,ばかりでなく,だけあって","とたん",""
"14","Grammar","9","","","1つ仕事が終わった(　)、先輩にまた仕事を頼まれた","かと思ったら,ばかりか,どころか,によって","かと思ったら",""
"14","Reading","1","","今から約400年前の江戸は、今の東京よりずっと狭い所に人々が暮らしていました。当時のパリやロンドンより人が多く、世界最大級の都市だったと言われています。江戸には全国各地から人が集まりました。そこで文化も生活の形も異なる他人同士が、狭い土地で暮らしていくための生活の知恵が生まれ、お互いにトラブルを起こさないような工夫をしていました。それが江戸しぐさです。江戸しぐさにはいろいろな種類があります。例えば「傘かしげ」傘かしげは、雨が降っているときのマナーです。道ですれ違う時、お互いの傘を一瞬外側に傾けて、さっとすれ違います。お互いの体に雨や雪のしずくがかからないようにするためです。

また、道を歩くときには、道の端のほうを歩きます。道幅を3対7に分け、普通に歩く人は端から3割の幅を通ります。道幅の残りの7割は急ぐ人や荷物や急病人の運ぶ人のために開けておきます。それを「七三歩き」といいます。当時、飛脚などに道を譲ったことから始まりました。","今の東京は400年前の江戸より狭いところに多くの人々が住んでいます","","❌",""
"14","Reading","2","","今から約400年前の江戸は...（略）","「江戸しぐさ」は狭い江戸の土地で人々がお互いにトラブルを起こさないための工夫でした","","✅",""
"14","Reading","3","","今から約400年前の江戸は...（略）","「傘かしげ」は雨が降っているときに、お互いの体に雨や雪のしずくがかからないように道を譲るマナーです","","❌",""
"14","Reading","4","","今から約400年前の江戸は...（略）","「七三の歩き」は道幅を3対7に分け、普通に歩く人が道の7割を使用するマナーです","","❌",""
"14","Reading","5","","A．自分がしていないことも謝る日本人
　　　留学生タニア(タイ)22歳
私はタイから来ました。今、近くのコンビニでアルバイトをしながら大学に入るための勉強しています。アルバイトをしていると、日本語の勉強になるばかりでなく、日本の習慣や日本人の考え方もわかってくるので、いい経験になると思っています。
この間、お店でこんなことがありました。お客さんの買い物かごが棚に当たって並べてあった商品が下に落ちてしまいました。ばさっと音がしたかと思うと、レジにいた先輩がさっと走ってきて、「あ、すいません」と言って落ちた商品の拾い始めたのです。
お客さんが落としたのに、「すいません」と謝るなんて、不思議でなりません。いったいどうして日本では自分がしていないことまで謝るのでしょうか？

B．「すみません」から思うこと
　　　主婦　中川美智子(東京) 48歳
先日タイの方からコンビニの店員さんの「すみません」について、投書がありましたが、今日私も同じような経験をしました。用品店でブラウスを見ていたときのことです。私がいた売り場の1枚のブラウスが、どういうわけか、ハンガーからするっと滑って床に落ちてしまいました。すると、すぐ店員さんが走ってきて、「すいません」と言いながら元通りに直して行きました。その時、私はさりげなくお客さんのことに気を配っていて、感じの良い店だなと思いました。
スターニャさんが見たコンビニの店員さんもきっとお客様を大事に思う気持ちから「すいません」というと一言が出たのではないでしょうか","商品が下に落ちそうだったので、スターニャさんの先輩は走ってきた","","❌",""
"14","Reading","6","","A．自分がしていないことも謝る日本人...（略）","中川さんは、Bの洋品店でブラウスが床に落ちたのは自分が原因で、店員さんは悪くないと思っている。","","❌",""
"14","Reading","7","","A．自分がしていないことも謝る日本人...（略）","スターニャさんの考える「すみません」の意味と、中川さんの考える「すいません」の意味は同じであると考えられる","","❌",""
"14","Reading","8","","A．自分がしていないことも謝る日本人...（略）","スターニャさんはコンビニでの出来事のような「すいません」に対して良いイメージを持っていない。","","✅",""
"14","Reading","9","","A．自分がしていないことも謝る日本人...（略）","中川さんは、スターニャさんに、自分がしていないことにも謝らなければならないのが日本の習慣や考え方だと理解して欲しくて新聞に投書した","","❌",""
"15","Vocabulary","1","あらためて, いつのまにか, データ, げんこう, げんしょう, つぎつぎに, ついでに, できれば, ほんらい, マスメディア","","今日は(　)お客が来て忙しかった","","つぎつぎに",""
"15","Vocabulary","2","あらためて, いつのまにか, データ, げんこう, げんしょう, つぎつぎに, ついでに, できれば, ほんらい, マスメディア","","「SNS疲れ」というのはSNSを楽しんでいるはずが、知らないうちに精神的な負担になってしまう(　)だ","","げんしょう",""
"15","Vocabulary","3","あらためて, いつのまにか, データ, げんこう, げんしょう, つぎつぎに, ついでに, できれば, ほんらい, マスメディア","","ゲームに夢中になっていたら、(　)朝になっていた","","いつのまにか",""
"15","Vocabulary","4","あらためて, いつのまにか, データ, げんこう, げんしょう, つぎつぎに, ついでに, できれば, ほんらい, マスメディア","","この映画を見て、家族の大切さを(　)教えられた","","あらためて",""
"15","Vocabulary","5","あらためて, いつのまにか, データ, げんこう, げんしょう, つぎつぎに, ついでに, できれば, ほんらい, マスメディア","","大切な(　)が消えてしまわないように、バックアップしておく","","データ",""
"15","Vocabulary","6","あつかう, あらたな, うたがう, おいて, けずって, しんらいされた, ついた, とった, ひていされた, よけいな","","会議で、上司に自分の意見を(　)ことがショックだった","","ひていされた",""
"15","Vocabulary","7","あつかう, あらたな, うたがう, おいて, けずって, しんらいされた, ついた, とった, ひていされた, よけいな","","ガラス製品は壊れやすいので、(　)時は慎重にしてください","","あつかう",""
