id,lesson,lesson_title,context,point,meaning,formation,jlpt,example_jp,example_en,nuance,textbook
11,1,New Encounters,making a memorable self-introduction,〜っぽい,seems ~ / -ish (casual quality/tendency),Noun／い-Adj stem／Verb ます-stem + っぽい,N3,彼は子供っぽいところがあります。,He has a somewhat childish side.,"Casual way to describe a noticeable quality or tendency, sometimes with a mildly critical nuance.","できる日本語 中級 本冊"
12,1,New Encounters,making a memorable self-introduction,〜でも（極端な例）,even ~ (extreme example implying 'anyone/anything'),Noun + でも,N4,簡単な挨拶でも、覚えておくと安心です。,Even simple greetings are reassuring to have memorized.,Uses an extreme/minimal example to imply the statement holds true more broadly as well.,"できる日本語 中級 本冊"
13,2,"Enjoying Meals, Savvy Shopping",listening to restaurant recommendations,〜ている（性質・状態）,is characterized by ~ (describing an inherent feature),Verb て-form + いる,N4,この店は野菜料理が充実している。,This restaurant is well-stocked with vegetable dishes.,Here ている describes a lasting characteristic/feature of something rather than an ongoing action.,"できる日本語 中級 本冊"
14,2,"Enjoying Meals, Savvy Shopping",listening to restaurant recommendations,〜によって（さまざまだ）,varies depending on ~,Noun + によって + さまざまだ／違う,N3,値段は店によってさまざまです。,Prices vary from shop to shop.,Marks the factor that causes variation; commonly paired with さまざまだ、違う、異なる.,"できる日本語 中級 本冊"
15,2,"Enjoying Meals, Savvy Shopping",listening to restaurant recommendations,〜うちに,while ~ (before a window of opportunity closes),plain form／Noun + の + うちに,N3,温かいうちに食べてください。,Please eat it while it's still warm.,"Implies the state won't last, so the action should be done within that limited time.","できる日本語 中級 本冊"
16,2,"Enjoying Meals, Savvy Shopping",listening to restaurant recommendations,〜わりに,"considering ~, (unexpectedly) ~","plain form (な-Adj+な, N+の) + わりに",N2,この店は高いわりに、量が少ない。,"This restaurant is pricey, and yet the portions are small, considering.",Points out a mismatch between an expected correlation and reality; similar to のに but frames it as a comparison against a standard.,"できる日本語 中級 本冊"
17,2,"Enjoying Meals, Savvy Shopping",recommending shops based on a friend's wishes,〜（が）いいんじゃない？,how about ~? / wouldn't ~ be good? (casual suggestion),Noun + が + いいんじゃない？,N3,この店がいいんじゃない？レビューもいいし。,How about this place? The reviews are good too.,"Casual, softened suggestion; んじゃない tones down a direct assertion into a tentative opinion.","できる日本語 中級 本冊"
18,2,"Enjoying Meals, Savvy Shopping",recommending shops based on a friend's wishes,〜ようになっている,is set up so that ~ / is designed to ~,Verb dictionary form + ようになっている,N3,このアプリは口コミを見られるようになっている。,This app is set up so you can view reviews.,"Describes a system, mechanism, or design feature that enables something, distinct from the personal-change meaning of Vるようになる.","できる日本語 中級 本冊"
19,2,"Enjoying Meals, Savvy Shopping",reading sale signs and posters,〜に限り,limited to ~ / only for ~,Noun + に限り,N2,本日に限り、全品20％オフです。,"Today only, everything is 20% off.","Formal, written way to state a strict limitation, common on signs and official notices.","できる日本語 中級 本冊"
20,2,"Enjoying Meals, Savvy Shopping",reading sale signs and posters,〜こそ／〜からこそ,precisely ~ / it is exactly because ~,Noun + こそ；plain form + からこそ,N2,今日こそ買おう。／安いからこそ、迷わず買った。,Today's the day I'll finally buy it. / It was precisely because it was cheap that I bought it without hesitation.,"こそ emphasizes the preceding word as the exact, singled-out one; からこそ strengthens から by pinpointing the reason as the real, essential one.","できる日本語 中級 本冊"
21,2,"Enjoying Meals, Savvy Shopping",reading sale signs and posters,〜につき,due to ~ / per ~ (formal notice language),Noun + につき,N2,台風接近につき、本日は休業いたします。,"Due to the approaching typhoon, we are closed today.",Formal written expression for stating a reason (often on signs) or for 'per unit'; register is notably formal.,"できる日本語 中級 本冊"
22,2,"Enjoying Meals, Savvy Shopping",politely requesting something from a shop staff member,　　　　ということだ（やわらかい依頼）,meaning ~ / that is to say ~ (softening a request by rephrasing),plain form + ということだ,N3,少々お待ちいただくということでよろしいでしょうか。,So that means I'd be asking you to wait a little—is that alright?,Here ということだ softens a request or confirmation by framing it as a restatement rather than a direct demand.,"できる日本語 中級 本冊"
23,2,"Enjoying Meals, Savvy Shopping",politely requesting something from a shop staff member,〜でしょうか,"would it be ~? (very polite, tentative question)",plain form + でしょうか,N4,こちらのサイズはございますでしょうか。,Would you happen to have this in this size?,"More polite, hedged version of ですか, commonly used by shop staff and in formal customer interactions.","できる日本語 中級 本冊"
24,2,"Enjoying Meals, Savvy Shopping",sharing a shopping experience,〜はずだ,should be ~ / is supposed to be ~ (confident expectation),"plain form (な-Adj+な, N+の) + はずだ",N3,セール中だから、安いはずだ。,"Since it's on sale, it should be cheap.","Expresses a strong, logically grounded expectation based on known information, more confident than でしょう.","できる日本語 中級 本冊"
25,2,"Enjoying Meals, Savvy Shopping",sharing a shopping experience,〜向け,aimed at ~ / geared toward ~,Noun + 向け（の／に）,N3,これは初心者向けの商品です。,This is a product aimed at beginners.,Marks the target audience or group a product/service is designed for.,"できる日本語 中級 本冊"
26,3,Making the Most of Time,reading an article about time management,〜はずがない,there's no way that ~ / it can't be that ~,"plain form (な-Adj+な, N+の) + はずがない",N3,こんなに忙しいのに、時間が余るはずがない。,"With things this busy, there's no way I'd have time to spare.","Strong denial of a possibility based on logical reasoning, stronger than わけがない in some contexts but very similar.","できる日本語 中級 本冊"
27,3,Making the Most of Time,reading an article about time management,〜なんて（驚き）,"the very idea that ~! (surprise/disbelief, sometimes disdain)",Noun／plain form + なんて,N3,一日を無駄にするなんて、もったいない。,To waste a whole day—what a shame!,"Expresses surprise, disbelief, or a critical/emotional reaction toward the preceding content.","できる日本語 中級 本冊"
28,3,Making the Most of Time,reading an article about time management,（〜ば）〜ほど,"the more ~, the more ~",Verb conditional form (ば) + Verb dictionary form + ほど；い-Adj/な-Adj equivalent,N3,計画を立てれば立てるほど、時間を有効に使える。,"The more you plan, the more effectively you can use your time.","Standard 'the more X, the more Y' construction pairing a conditional and dictionary form of the same word.","できる日本語 中級 本冊"
29,3,Making the Most of Time,reading an article about time management,〜でも（例示）,"for example, even ~ / things like ~",Question word + でも,N4,スキマ時間には、ストレッチでもすればいい。,"During spare moments, you could do something like stretching.",Uses でも after a question word or noun to loosely suggest one example among several possible options.,"できる日本語 中級 本冊"
30,3,Making the Most of Time,hearing a friend's daily routine tips,こんな〜／そんな〜／あんな〜／どんな〜,this kind of ~ / that kind of ~ / that kind of (over there) ~ / what kind of ~,こんな／そんな／あんな／どんな + Noun,N5,そんな生活リズムなら、私も真似したいです。,"If it's that kind of lifestyle rhythm, I'd like to copy it too.","Demonstrative adjectives describing a kind/type of thing, following the same near/far/distant/question logic as これ・それ・あれ・どれ.","できる日本語 中級 本冊"
31,3,Making the Most of Time,hearing a friend's daily routine tips,〜ふうに,in a ~ way / like this,こんな／そんな／あんな + ふうに；Noun + の + ような + ふうに,N3,毎朝こんなふうに時間を使っています。,I use my time like this every morning.,"Describes the manner or style in which something is done, often accompanying a demonstration or example.","できる日本語 中級 本冊"
32,3,Making the Most of Time,hearing a friend's daily routine tips,〜ことで,by ~ing / through ~ing,plain form + ことで,N3,早起きすることで、朝の時間を有効に使えます。,"By waking up early, you can use your morning time effectively.",Nominalizes an action as the means or cause behind a following result.,"できる日本語 中級 本冊"
33,3,Making the Most of Time,talking about using time toward future goals,　　　　なあ,"~, huh (casual reflective exclamation)",plain form + なあ,N4,もっと勉強しておけばよかったなあ。,"I really should have studied more, huh.","Casual sentence-final particle expressing a personal, reflective feeling, spoken more to oneself than to the listener.","できる日本語 中級 本冊"
34,3,Making the Most of Time,talking about using time toward future goals,〜ことがある／〜こともある,there are times when ~,Verb dictionary form／ない-form + ことがある／こともある,N4,忙しくて、目標を忘れてしまうこともあります。,There are also times when I get so busy I forget my goals.,States an occasional occurrence; こともある softens/hedges further by implying it's just one possibility among others.,"できる日本語 中級 本冊"
35,3,Making the Most of Time,talking about using time toward future goals,〜にとって,for ~ / from the perspective of ~,Noun + にとって,N3,私にとって、時間は一番大切な資源です。,"For me, time is the most valuable resource.",Marks whose viewpoint or standpoint a judgment is being made from.,"できる日本語 中級 本冊"
36,3,Making the Most of Time,asking someone for tips on enriching life in Japan,〜ことだし,"given that ~, (also) ~ (adding one supporting reason casually)",plain form + ことだし,N2,天気もいいことだし、散歩にでも行きませんか。,"Given that the weather's nice too, how about going for a walk?","Casually cites a fact as one contributing reason among possibly others, softer than から.","できる日本語 中級 本冊"
37,3,Making the Most of Time,asking someone for tips on enriching life in Japan,〜てくれない?／〜てくれる?,won't you ~ for me? / will you ~ for me? (casual request),Verb て-form + くれない？／くれる？,N4,何かいい過ごし方、教えてくれない？,Won't you tell me some good way to spend my time?,"Casual spoken request form among friends, less formal than てくれませんか.","できる日本語 中級 本冊"
38,3,Making the Most of Time,asking someone for tips on enriching life in Japan,〜じゃない?／〜んじゃない?,isn't it ~? (casual tentative opinion),plain form + じゃない？／んじゃない？,N3,もっと計画を立てたほうがいいんじゃない?,Wouldn't it be better to make more of a plan?,"Softens an opinion into a tentative suggestion rather than a flat statement, common in casual conversation.","できる日本語 中級 本冊"
39,4,Living Life Knowing Your Community,listening to a facility staff member's explanation,お・ご〜です／お・ご〜でしょう,(honorific) is ~ / is probably ~,お／ご + Noun／Verb ます-stem + です／でしょう,N3,初めてのご利用でしょうか。,Is this your first time using this facility?,Formal honorific construction commonly used by staff addressing customers.,"できる日本語 中級 本冊"
40,4,Living Life Knowing Your Community,listening to a facility staff member's explanation,〜場合,in the case that ~ / if ~,plain form／Noun + の + 場合,N4,予約をキャンセルする場合は、前日までにご連絡ください。,"In the case you cancel your reservation, please contact us by the day before.","Formal, neutral way to introduce a hypothetical or specific scenario, common in rules and instructions.","できる日本語 中級 本冊"
41,4,Living Life Knowing Your Community,listening to a facility staff member's explanation,〜ないことには〜ない,"unless ~, ~ won't happen",Verb ない-form + いことには + negative predicate,N2,実際に見ないことには、詳しいことはわかりません。,"Unless I actually see it, I won't know the details.","Strongly states a necessary precondition, without which the following outcome cannot occur.","できる日本語 中級 本冊"
42,4,Living Life Knowing Your Community,explaining a problem to a building manager and asking for help,〜たいことがあるんですが,there's something I'd like to ~ (softly opening a request),Verb ます-stem + たいことがあるんですが,N3,ちょっと相談したいことがあるんですが。,There's something I'd like to consult you about.,Common conversational opener that eases into a request without stating it too abruptly.,"できる日本語 中級 本冊"
43,4,Living Life Knowing Your Community,explaining a problem to a building manager and asking for help,〜（よ）うとする,to try to ~ / to be about to ~,Verb volitional form + とする,N3,ドアを開けようとしたが、開かなかった。,"I tried to open the door, but it wouldn't open.",Describes an attempted or imminent action; often used with a negative or unexpected result afterward.,"できる日本語 中級 本冊"
44,4,Living Life Knowing Your Community,explaining a problem to a building manager and asking for help,〜みたいなんですが／〜ようなんですが,"it seems like ~, (but...)",plain form + みたいなんですが／ようなんですが,N3,水道が壊れているみたいなんですが。,It seems like the water pipe is broken.,"Softens a claim with an evidential hedge, useful when reporting a problem you're not 100% certain about.","できる日本語 中級 本冊"
45,4,Living Life Knowing Your Community,explaining a problem to a building manager and asking for help,〜ていただきたいんですが,I would like you to ~ (polite request),Verb て-form + いただきたいんですが,N3,早めに直していただきたいんですが。,"I'd like you to fix it as soon as possible, if you could.","Polite, humble way of requesting an action, softer and more indirect than ていただけませんか.","できる日本語 中級 本冊"
46,4,Living Life Knowing Your Community,reading a facility usage guide,〜には（用途・目的）,in order to ~ / for the purpose of ~,Verb dictionary form + には,N3,会議室を利用するには、事前予約が必要です。,"In order to use the meeting room, advance reservation is required.","Marks what is needed to achieve a stated goal, similar to ためには but more concise.","できる日本語 中級 本冊"
47,4,Living Life Knowing Your Community,reading a facility usage guide,〜にかかわらず／〜にかかわりなく,regardless of ~,Noun／plain form (question word combos) + にかかわらず／にかかわりなく,N2,天気にかかわらず、イベントは開催されます。,"Regardless of the weather, the event will be held.",States that the following holds true no matter the value of the preceding factor.,"できる日本語 中級 本冊"
48,4,Living Life Knowing Your Community,reading a facility usage guide,〜次第,depending on ~ / as soon as ~,Noun + 次第；Verb ます-stem + 次第,N2,利用時間は目的次第で変わります。,Usage hours vary depending on the purpose.,"Two related meanings: 'depending on' with a noun, or 'as soon as' with a verb stem — context determines which.","できる日本語 中級 本冊"
49,4,Living Life Knowing Your Community,introducing a facility you often use,〜途中（で）／〜途中（に）,in the middle of ~ / on the way ~,Verb dictionary form／Noun + の + 途中（で／に）,N3,帰る途中で、この図書館に寄ります。,I stop by this library on my way home.,Marks a point partway through an ongoing action or journey.,"できる日本語 中級 本冊"
50,4,Living Life Knowing Your Community,introducing a facility you often use,〜を〜として,as ~ / in the capacity of ~,Noun + を + Noun + として,N2,この施設は地域の交流の場として使われています。,This facility is used as a place for local community interaction.,States the role or capacity in which something functions.,"できる日本語 中級 本冊"
51,4,Living Life Knowing Your Community,taking notes on directions over the phone,〜を背にして,with ~ at one's back,Noun + を背にして,N2,駅を背にして、まっすぐ進んでください。,"With the station at your back, go straight ahead.","Sets a spatial orientation reference point, common in giving directions.","できる日本語 中級 本冊"
52,4,Living Life Knowing Your Community,taking notes on directions over the phone,〜に沿って／〜に沿う／〜に沿った,along ~ / in line with ~,Noun + に沿って／に沿う／に沿った,N2,川に沿って歩くと、公園に着きます。,"If you walk along the river, you'll reach the park.","Literally 'along' a physical path, or figuratively 'in accordance with' a plan/rule, depending on context.","できる日本語 中級 本冊"
53,5,Emergency!,listening to earthquake/typhoon news bulletins,〜によって／〜により／〜による（原因）,due to ~ / caused by ~,Noun + によって／により／による,N2,台風により、電車が運休しています。,"Due to the typhoon, trains are suspended.","Formal way to state a cause, common in news reports; による directly modifies a following noun.","できる日本語 中級 本冊"
54,5,Emergency!,listening to earthquake/typhoon news bulletins,〜おそれがある,there is a risk/danger that ~,Verb dictionary form／Noun + の + おそれがある,N2,大雨で川が氾濫するおそれがある。,There is a risk that the river will flood due to the heavy rain.,"Formal expression warning of a potential negative outcome, typical of official warnings and news bulletins.","できる日本語 中級 本冊"
55,5,Emergency!,explaining you'll be late due to transportation trouble,〜そうにないんですが,it doesn't look like ~ will happen,Verb ます-stem + そうにないんですが,N3,電車が止まっていて、時間通りに着けそうにないんですが。,"The trains have stopped, and it doesn't look like I'll make it on time.","Negative form of the imminent-appearance そうです, expressing that something looks unlikely to happen as expected.","できる日本語 中級 本冊"
56,5,Emergency!,explaining you'll be late due to transportation trouble,　　　　とか（伝聞・不確か）,I heard something like ~ (vague reported information),plain form + とか,N3,事故があったとか聞きましたが。,I heard something about there being an accident.,Casually and vaguely reports secondhand information without full commitment to its accuracy.,"できる日本語 中級 本冊"
57,5,Emergency!,describing an injury and its circumstances,〜てしまったようなんです,it seems that I've ended up ~ing (regret + hedge),Verb て-form + しまったようなんです,N3,階段で足をひねってしまったようなんです。,It seems I've ended up twisting my ankle on the stairs.,"Combines てしまう's regret nuance with an evidential ようだ hedge, common when reporting an accident you're still assessing.","できる日本語 中級 本冊"
58,5,Emergency!,describing an injury and its circumstances,〜ところへ／〜ところに／〜ところを,just as ~ / right at the moment when ~,Verb ている／た-form + ところへ／ところに／ところを,N2,階段を降りているところを、後ろから押されました。,"Right as I was going down the stairs, I got pushed from behind.","Pinpoints the exact moment an interrupting event occurred, often unexpectedly.","できる日本語 中級 本冊"
59,5,Emergency!,describing an injury and its circumstances,〜につれて,as ~ progresses (gradual co-occurring change),Verb dictionary form／Noun + につれて,N2,時間が経つにつれて、痛みがひどくなってきました。,"As time passed, the pain got worse.",Describes two changes occurring gradually and in parallel over time.,"できる日本語 中級 本冊"
60,5,Emergency!,reading evacuation precautions,〜ものだ／〜ものではない（当然）,one should ~ / one shouldn't ~ (general expectation/norm),Verb dictionary form + ものだ；ない-form + ものではない,N3,非常時は落ち着いて行動するものだ。,"In an emergency, one should act calmly.","States a general social norm or common-sense expectation, not a personal opinion.","できる日本語 中級 本冊"
61,5,Emergency!,reading evacuation precautions,〜とおり（に）／〜どおり（に）,just as ~ / according to ~,Verb dictionary/た-form + とおりに；Noun + どおりに,N3,指示どおりに避難してください。,Please evacuate according to the instructions.,"States that an action should match or did match a given model, plan, or instruction exactly.","できる日本語 中級 本冊"
62,5,Emergency!,reading evacuation precautions,〜際（に）,on the occasion of ~ / when ~ (formal),Verb dictionary form／Noun + の + 際（に）,N2,避難する際は、エレベーターを使わないでください。,"When evacuating, please do not use the elevator.","Formal equivalent of とき, common in official instructions and written notices.","できる日本語 中級 本冊"
63,5,Emergency!,reading evacuation precautions,〜こと（指示）,(you) must ~ (written instruction/rule),Verb dictionary form／ない-form + こと,N3,避難場所では静かにすること。,Please remain quiet at the evacuation site.,"Terse, formal instructional ending used in written rules, signs, and official directives; not used in spoken conversation.","できる日本語 中級 本冊"
64,5,Emergency!,sharing a personal emergency experience,〜まま,as is / while still ~ (unchanged state),plain form (た-form／ない-form) + まま,N3,びっくりして、立ったまま動けませんでした。,"I was so startled I couldn't move, staying standing.",Describes a state that continues unchanged while another action or situation occurs.,"できる日本語 中級 本冊"
65,5,Emergency!,sharing a personal emergency experience,〜だらけ,covered in ~ / full of ~ (usually negative),Noun + だらけ,N2,転んで、服が泥だらけになりました。,I fell and my clothes got covered in mud.,"Emphasizes an excessive, usually undesirable, amount of something covering or filling a thing.","できる日本語 中級 本冊"
66,5,Emergency!,sharing a personal emergency experience,～んだろう／～のだろう,I wonder if ~ (self-directed musing),plain form + んだろう／のだろう,N3,あのとき、どうすればよかったんだろう。,I wonder what I should have done at that time.,"Reflective wondering, often rhetorical, typically spoken to oneself rather than as a direct question to someone.","できる日本語 中級 本冊"
67,6,Spreading Out the Map,"reading about geography, town features, and climate",〜に囲まれている／〜に囲まれた,is surrounded by ~,Noun + に囲まれている／に囲まれた + Noun,N3,この町は山に囲まれています。,This town is surrounded by mountains.,"Passive form of 囲む, describing a location's spatial relationship to its surroundings.","できる日本語 中級 本冊"
68,6,Spreading Out the Map,"reading about geography, town features, and climate",（〜が）〜を占める／〜が占める,~ accounts for / makes up ~ (proportion),Noun + が + Noun + を占める,N2,森林がこの地域の面積の半分を占めている。,Forest accounts for half of this area's land.,States the proportion or share that something represents within a whole.,"できる日本語 中級 本冊"
69,6,Spreading Out the Map,"reading about geography, town features, and climate",〜がち,tends to ~ / apt to ~ (usually negative tendency),Verb ます-stem／Noun + がち,N3,この地域は冬、雪が多くなりがちです。,This region tends to get a lot of snow in winter.,"Describes a frequent tendency, typically one viewed as undesirable or inconvenient.","できる日本語 中級 本冊"
70,6,Spreading Out the Map,"reading about geography, town features, and climate",〜に比べ（て）,compared to ~,Noun + に比べ（て）,N3,去年に比べて、今年は雨が少ない。,"Compared to last year, there's less rain this year.","Standard comparison marker, slightly more formal/written than と比べて.","できる日本語 中級 本冊"
71,6,Spreading Out the Map,listening about buildings adapted to climate,〜に備えて,in preparation for ~,Noun + に備えて,N2,台風に備えて、窓を補強しています。,We're reinforcing the windows in preparation for typhoons.,Marks preparation made in anticipation of a foreseeable future event.,"できる日本語 中級 本冊"
72,6,Spreading Out the Map,listening about buildings adapted to climate,〜に代わって／〜に代わり,in place of ~ / on behalf of ~,Noun + に代わって／に代わり,N2,木材に代わって、新しい素材が使われるようになった。,New materials have come to be used in place of wood.,Indicates substitution — one thing taking over the role or function of another.,"できる日本語 中級 本冊"
73,6,Spreading Out the Map,advising a friend who fell ill from a climate change,〜のような／〜のように（例示）,like ~ / such as ~,Noun + のような + Noun；のように + Verb,N4,頭痛のような症状があれば、休んだほうがいいですよ。,"If you have symptoms like a headache, you should rest.",Gives a concrete example to illustrate a category or type.,"できる日本語 中級 本冊"
74,6,Spreading Out the Map,advising a friend who fell ill from a climate change,〜として,as ~ (in the role/capacity of),Noun + として,N3,体調管理の一つとして、水分補給が大切です。,"As one part of managing your health, staying hydrated is important.","States the role, category, or capacity in which something is being considered.","できる日本語 中級 本冊"
75,6,Spreading Out the Map,advising a friend who fell ill from a climate change,〜に限る,the best thing is ~ / nothing beats ~,Verb dictionary form／Noun + に限る,N2,体調が悪いときは、休むに限る。,"When you're not feeling well, the best thing to do is rest.",Casually states the speaker's strong personal recommendation as the clearly best option among alternatives.,"できる日本語 中級 本冊"
76,6,Spreading Out the Map,reading about a town's features and history,〜を中心に（して）／〜を中心として,centering on ~ / with ~ as the focus,Noun + を中心に（して）／を中心として,N2,この町は農業を中心に発展してきました。,This town has developed with agriculture at its center.,Marks the main focus or core around which something is organized or has developed.,"できる日本語 中級 本冊"
77,6,Spreading Out the Map,reading about a town's features and history,〜を通じて／〜を通して,through ~ / by means of ~,Noun + を通じて／を通して,N2,この祭りを通じて、地域の絆が深まる。,"Through this festival, the community's bonds are strengthened.","Marks a medium, channel, or period through which something is achieved or experienced.","できる日本語 中級 本冊"
78,6,Spreading Out the Map,reading about a town's features and history,〜をはじめ（として）／〜をはじめとする,starting with ~ (and including others),Noun + をはじめ（として）／をはじめとする + Noun,N2,この町には神社をはじめ、多くの歴史的な建物がある。,"This town has many historical buildings, starting with its shrine.",Names one representative example while implying there are further similar items in the same category.,"できる日本語 中級 本冊"
79,6,Spreading Out the Map,reading about a town's features and history,〜ことから,based on the fact that ~ / for the reason that ~,plain form + ことから,N2,海が近いことから、この町は漁業が盛んだ。,"Because it's close to the sea, this town has a thriving fishing industry.","States a factual basis or origin for a conclusion, common in explanatory writing.","できる日本語 中級 本冊"
80,6,Spreading Out the Map,introducing local specialties tied to geography/climate,〜といえば／〜というと,speaking of ~ / when it comes to ~,Noun + といえば／というと,N3,この地方といえば、りんごが有名です。,"Speaking of this region, apples are famous.","Introduces a topic to comment on, prompted by association with the preceding word.","できる日本語 中級 本冊"
81,7,Cross-Generational Exchange,reading a participant's account before joining an activity,〜どころではない／〜どころじゃない,this is no time for ~ / far from ~,Noun／Verb dictionary form + どころではない,N2,忙しくて、旅行どころではなかった。,I was so busy that travel was out of the question.,"Strongly denies that the stated situation is even remotely possible, emphasizing a stark contrast with reality.","できる日本語 中級 本冊"
82,7,Cross-Generational Exchange,reading a participant's account before joining an activity,〜たところ,"when I did ~, (as a result) ~",Verb た-form + ところ,N2,参加してみたところ、思った以上に楽しかった。,"When I tried participating, it was more fun than I expected.","Neutral, slightly formal way to report what was discovered right after taking an action; common in narrative writing.","できる日本語 中級 本冊"
83,7,Cross-Generational Exchange,reading a participant's account before joining an activity,〜ことになった,it turned out that ~ / it was decided that ~,Verb dictionary form + ことになった,N4,来月からボランティア活動に参加することになった。,It's been decided that I'll join volunteer activities starting next month.,"States a decision or arrangement made, often by circumstance or others rather than the speaker's own choice.","できる日本語 中級 本冊"
84,7,Cross-Generational Exchange,reading a participant's account before joining an activity,〜限り／〜限りは,as long as ~ / to the extent that ~,plain form + 限り／限りは,N2,参加者が少ない限り、活動は難しい。,"As long as there are few participants, the activity will be difficult.",Sets a condition or boundary within which the following statement holds true.,"できる日本語 中級 本冊"
85,7,Cross-Generational Exchange,inviting someone to an event with consideration for their preferences,〜かなと思って,"I was thinking maybe ~ (tentative, casual reasoning for an action)",plain form + かなと思って,N3,興味があるかなと思って、誘ってみました。,"I thought you might be interested, so I invited you.",Softens the speaker's motivation by framing it as a tentative guess rather than a firm assumption.,"できる日本語 中級 本冊"
86,7,Cross-Generational Exchange,inviting someone to an event with consideration for their preferences,〜にしては,"for ~ / considering ~ (unexpectedly, contrary to expectation)",Noun／plain form + にしては,N2,初めてにしては、上手にできましたね。,"For a first try, you did that quite well.",Points out that the result doesn't match what one would normally expect given the stated fact.,"できる日本語 中級 本冊"
87,7,Cross-Generational Exchange,inviting someone to an event with consideration for their preferences,〜につき（理由）,due to ~ / because of ~ (formal reason),Noun + につき,N2,定員に達しましたにつき、受付を終了します。,"As capacity has been reached, we are closing registration.","Formal written expression stating a reason, common on notices — revisits the same form from Lesson 2 in a different context.","できる日本語 中級 本冊"
88,7,Cross-Generational Exchange,listening to speech differences by generation/gender,〜もんだ／〜ものだ,that's just how it is / that's how ~ used to be (nostalgic/general truth),plain form + もんだ／ものだ,N3,昔はよく友達と外で遊んだものだ。,"Back then, we often used to play outside with friends.",Expresses nostalgic reminiscence about the past or states a widely accepted general truth; もんだ is the casual spoken contraction.,"できる日本語 中級 本冊"
89,7,Cross-Generational Exchange,listening to speech differences by generation/gender,〜ながら（も）,although ~ / while ~ (concession),Verb ます-stem／い-Adj／な-Adj/N + ながら（も）,N2,忙しいながらも、毎週集まる時間を作っています。,"Even while being busy, we make time to gather every week.","Expresses a concessive contrast — doing/being one thing despite another, similar to のに but grammatically attaches directly to stems.","できる日本語 中級 本冊"
90,7,Cross-Generational Exchange,listening to speech differences by generation/gender,〜につけ（て）,whenever ~ / every time ~,Verb dictionary form／Noun + につけ（て）,N2,この歌を聞くにつけ、若いころを思い出す。,"Whenever I hear this song, I recall my younger days.",Marks a recurring trigger that consistently brings about the same feeling or thought.,"できる日本語 中級 本冊"
