vocab,reading,english,my_meaning,example_jp,example_en,example,lesson,page,textbook
抱く,だく,to hold (someone) [here: to cradle],,母親（ははおや）が赤（あか）ちゃんを優（やさ）しく抱（だ）いた。,The mother gently cradled the baby.,,11,21,できる日本語 中級 本冊
時期,じき,"a time, a period",time / season / period (of time),今（いま）は一年（いちねん）で一番（いちばん）忙（いそが）しい時期（じき）だ。,This is the busiest time of the year.,,11,21,できる日本語 中級 本冊
はいはいする,はいはいする,to crawl,,赤（あか）ちゃんがはいはいを始（はじ）めた。,The baby started to crawl.,,11,21,できる日本語 中級 本冊
日々,ひび,every day,daily / day-to-day; each passing day,日々（ひび）の努力（どりょく）が大切（たいせつ）だ。,Daily effort is important.,,11,21,できる日本語 中級 本冊
身が入る,みがはいる,to put one's heart and soul into,to become absorbed in / put your heart into,目標（もくひょう）ができて仕事（しごと）に身（み）が入（はい）る。,"Now that I have a goal, I'm really into my work.",,11,21,できる日本語 中級 本冊
反応する,はんのうする,to react,,肌（はだ）が寒（さむ）さに反応（はんのう）する。,The skin reacts to the cold.,,11,21,できる日本語 中級 本冊
母乳,ぼにゅう,breast milk,,,,,11,21,できる日本語 中級 本冊
育児する,いくじする,to raise a child,,夫婦（ふうふ）で協力（きょうりょく）して育児（いくじ）する。,The couple raises their child together.,,11,21,できる日本語 中級 本冊
休業する,きゅうぎょうする,to stop work,,年末年始（ねんまつねんし）は休業（きゅうぎょう）します。,We are closed over the New Year holidays.,,11,21,できる日本語 中級 本冊
取得する,しゅとくする,"to take, to redeem","to acquire / obtain (a qualification, license, or leave)",運転免許（うんてんめんきょ）を取得（しゅとく）した。,I got my driver's license.,,11,21,できる日本語 中級 本冊
代員,だいいん,"temp, cover",a stand-in / substitute (covering someone's absence),産休中（さんきゅうちゅう）の代員（だいいん）を雇（やと）う。,We hire a temp to cover the maternity leave.,,11,21,できる日本語 中級 本冊
配置する,はいちする,to assign,,社員（しゃいん）を各支店（かくしてん）に配置（はいち）する。,We assign staff to each branch.,,11,21,できる日本語 中級 本冊
理解する,りかいする,to understand,,,,,11,21,できる日本語 中級 本冊
環境,かんきょう,environment,"environment / surroundings (incl. one's situation, not only nature)",働（はたら）きやすい環境（かんきょう）を整（ととの）える。,We create a comfortable working environment.,,11,21,できる日本語 中級 本冊
賛成する,さんせいする,to agree,,その提案（ていあん）に賛成（さんせい）です。,I agree with that proposal.,,11,21,できる日本語 中級 本冊
記憶する,きおくする,to remember,,電話番号（でんわばんごう）を記憶（きおく）している。,I have the phone number memorized.,,11,21,できる日本語 中級 本冊
間もない,まもない,just after,shortly after / not long since; soon,来日（らいにち）して間（ま）もないので、まだ慣（な）れない。,"I just arrived in Japan, so I'm not used to it yet.",,11,21,できる日本語 中級 本冊
想像する,そうぞうする,to imagine,,将来（しょうらい）の生活（せいかつ）を想像（そうぞう）する。,I imagine my future life.,,11,21,できる日本語 中級 本冊
休暇,きゅうか,"leave, time off",,夏（なつ）に長（なが）い休暇（きゅうか）を取（と）る。,I take a long vacation in summer.,,11,21,できる日本語 中級 本冊
満了する,まんりょうする,to expire,to expire / reach the end of a fixed term,契約（けいやく）が今月（こんげつ）で満了（まんりょう）する。,The contract expires this month.,,11,21,できる日本語 中級 本冊
復帰する,ふっきする,to return (to work),to return (to work or activity after a break),産休（さんきゅう）から職場（しょくば）に復帰（ふっき）した。,She returned to work from maternity leave.,,11,21,できる日本語 中級 本冊
ビデオカメラ,ビデオカメラ,video camera,,,,,11,21,できる日本語 中級 本冊
成長する,せいちょうする,to grow,,子供（こども）はあっという間（ま）に成長（せいちょう）する。,Children grow up in no time.,,11,21,できる日本語 中級 本冊
授乳する,じゅにゅうする,to breast feed,,三時間（さんじかん）ごとに授乳（じゅにゅう）する。,She breastfeeds every three hours.,,11,21,できる日本語 中級 本冊
サポートする,サポートする,to support,,新人（しんじん）をサポートする。,I support the new employee.,,11,21,できる日本語 中級 本冊
泣き止む,なきやむ,to stop crying,,抱（だ）っこしたら赤（あか）ちゃんが泣（な）き止（や）んだ。,The baby stopped crying when I held it.,,11,21,できる日本語 中級 本冊
できる限り,できるかぎり,as much as possible,as much as one can / to the best of one's ability,できる限（かぎ）りのことをした。,I did everything I could.,,11,21,できる日本語 中級 本冊
癒す,いやす,to calm,to heal / soothe / comfort,温泉（おんせん）が疲（つか）れを癒（いや）してくれる。,The hot spring soothes my fatigue.,,11,21,できる日本語 中級 本冊
今日このごろ,きょうこのごろ,nowadays,these days / lately,すっかり春（はる）らしくなった今日（きょう）このごろです。,These days it's become quite spring-like.,,11,21,できる日本語 中級 本冊
現状,げんじょう,the actual situation,the current situation / present state,まず現状（げんじょう）を把握（はあく）しよう。,Let's first grasp the current situation.,,11,21,できる日本語 中級 本冊
気楽（な）,きらく,carefree,relaxed / easygoing / carefree,気楽（きらく）に考（かんが）えればいい。,You can take it easy about it.,,11,21,できる日本語 中級 本冊
ヘルシー（な）,ヘルシー,healthy,,,,,11,21,できる日本語 中級 本冊
目がない,めがない,to have an unlimited appetite for,to have a weakness for / love (sth) to no end,彼（かれ）は甘（あま）い物（もの）に目（め）がない。,He has a real weakness for sweets.,,11,21,できる日本語 中級 本冊
取り上げる,とりあげる,to bring up,to take up / feature (a topic); also to take away,ニュースがその事件（じけん）を取（と）り上（あ）げた。,The news featured that incident.,,11,21,できる日本語 中級 本冊
新入生,しんにゅうせい,freshman,,,,,11,21,できる日本語 中級 本冊
家庭,かてい,household,home / family / household,明（あか）るい家庭（かてい）を作（つく）りたい。,I want to build a cheerful home.,,11,21,できる日本語 中級 本冊
調査する,ちょうさする,to survey,,事故（じこ）の原因（げんいん）を調査（ちょうさ）する。,They investigate the cause of the accident.,,11,21,できる日本語 中級 本冊
このたび,このたび,on this occasion,on this occasion / recently (formal),このたびは大変（たいへん）お世話（せわ）になりました。,Thank you very much for your help on this occasion.,,11,21,できる日本語 中級 本冊
首都圏,しゅとけん,metropolitan area,,,,,11,21,できる日本語 中級 本冊
私立大学,しりつだいがく,private university,,,,,11,21,できる日本語 中級 本冊
対象,たいしょう,target,"target / subject (of a survey, study, etc.)",若者（わかもの）を対象（たいしょう）にアンケートを取（と）った。,We surveyed young people.,,11,21,できる日本語 中級 本冊
親元,おやもと,one's parents' house,,大学（だいがく）進学（しんがく）で親元（おやもと）を離（はな）れた。,I left my parents' home to go to university.,,11,21,できる日本語 中級 本冊
離れる,はなれる,to leave,to leave / become separated / be far from,故郷（こきょう）を離（はな）れて十年（じゅうねん）になる。,It's been ten years since I left my hometown.,,11,21,できる日本語 中級 本冊
家賃,やちん,rent,,,,,11,21,できる日本語 中級 本冊
一月,ひとつき,one month,"one month (duration; read ひとつき, not いちがつ)",一月（ひとつき）でかなり上達（じょうたつ）した。,I improved a lot in one month.,,11,21,できる日本語 中級 本冊
過去,かこ,past,,,,,11,21,できる日本語 中級 本冊
最低（な）,さいてい,minimum,lowest / minimum; also 'the worst' (colloquial),最低限（さいていげん）の生活費（せいかつひ）を計算（けいさん）する。,I calculate the minimum living costs.,,11,21,できる日本語 中級 本冊
厳しい,きびしい,hard,strict; severe; harsh; (of circumstances) tough,練習（れんしゅう）が厳（きび）しい。,The training is tough.,（生活が厳しい）hard (it is hard to make ends meet),11,21,できる日本語 中級 本冊
学費,がくひ,school fees,,,,,11,21,できる日本語 中級 本冊
使い道,つかいみち,way of using,use / what to spend it on,お金（かね）の使（つか）い道（みち）に迷（まよ）う。,I can't decide what to spend the money on.,,11,21,できる日本語 中級 本冊
まあ,まあ,well,,,,"（まあ大変といっても）well (well, I say it's hard)",11,21,できる日本語 中級 本冊
助け合う,たすけあう,to help each other out,,困（こま）ったときは助（たす）け合（あ）う。,We help each other when in trouble.,,11,21,できる日本語 中級 本冊
苦しい,くるしい,difficult,"painful / hard / tough (physically, emotionally, or financially)",生活（せいかつ）が苦（くる）しい。,Life is financially hard.,,11,21,できる日本語 中級 本冊
たくましい,たくましい,"resolute, robust",tough / sturdy / robust (in body or spirit),彼（かれ）は精神的（せいしんてき）にたくましい。,He is mentally tough.,,11,21,できる日本語 中級 本冊
今後,こんご,in the future,from now on / in the future / hereafter,今後（こんご）の予定（よてい）を立（た）てる。,I make plans for the future.,,11,22,できる日本語 中級 本冊
花粉,かふん,pollen,,,,,11,22,できる日本語 中級 本冊
慎重（な）,しんちょう,cautious,,慎重（しんちょう）に判断（はんだん）する。,I judge carefully.,,11,22,できる日本語 中級 本冊
減少する,げんしょうする,to reduce,to decrease / decline (intransitive),人口（じんこう）が減少（げんしょう）する。,The population decreases.,,11,22,できる日本語 中級 本冊
規則正しい,きそくただしい,well regulated,,規則正（きそくただ）しい生活（せいかつ）を送（おく）る。,I lead a well-ordered life.,,11,22,できる日本語 中級 本冊
実行する,じっこうする,to put into practice,to carry out / put into action,計画（けいかく）を実行（じっこう）する。,I carry out the plan.,,11,22,できる日本語 中級 本冊
やりがい,やりがい,worth doing,a sense of reward / something worth doing,やりがいのある仕事（しごと）だ。,It's a rewarding job.,,11,22,できる日本語 中級 本冊
手作り,てづくり,home-made,,手作（てづく）りのケーキをもらった。,I received a homemade cake.,,11,22,できる日本語 中級 本冊
かなわない,かなわない,nothing better than,to be no match for; (after て) to be unbearable,暑（あつ）くてかなわない。,It's unbearably hot.,,11,22,できる日本語 中級 本冊
それほど,それほど,not that,(not) that much / to that extent,それほど難（むずか）しくない。,It's not that difficult.,,11,22,できる日本語 中級 本冊
現実,げんじつ,reality,reality,現実（げんじつ）は厳（きび）しい。,Reality is harsh.,,11,22,できる日本語 中級 本冊
小型,こがた,small,small-sized / compact,小型（こがた）の車（くるま）を買（か）う。,I buy a compact car.,,11,22,できる日本語 中級 本冊
中古車,ちゅうこしゃ,second-hand car,,,,,11,22,できる日本語 中級 本冊
サンプル数,サンプルすう,no. of samples,,,,,11,22,できる日本語 中級 本冊
～当たり,～あたり,per,per / for each (unit),,,（１週間当たり）per (per week),11,22,できる日本語 中級 本冊
実施する,じっしする,to carry out,"to carry out / implement (an event, test, or policy)",試験（しけん）を実施（じっし）する。,They administer the exam.,,11,22,できる日本語 中級 本冊
～別,～べつ,by,by / classified by ~,,,（学年別）by (by school year),11,22,できる日本語 中級 本冊
シェアハウス,シェアハウス,shared house,,,,,11,22,できる日本語 中級 本冊
住居,じゅうきょ,house,residence / dwelling,住居（じゅうきょ）を移（うつ）す。,to relocate one's residence,,11,22,できる日本語 中級 本冊
スタイル,スタイル,style,,,,,11,22,できる日本語 中級 本冊
リビング,リビング,living room,,,,,11,22,できる日本語 中級 本冊
一般的（な）,いっぱんてき,typical,typical / common / general,一般的（いっぱんてき）な意見（いけん）だ。,It's a common opinion.,,11,22,できる日本語 中級 本冊
たとえ,たとえ,even if,even if (paired with 〜ても),たとえ失敗（しっぱい）しても後悔（こうかい）しない。,"Even if I fail, I won't regret it.",,11,22,できる日本語 中級 本冊
敷金,しききん,security deposit,"security deposit (refundable, for renting)",敷金（しききん）を払（はら）う。,to pay a security deposit,,11,22,できる日本語 中級 本冊
礼金,れいきん,finder's fee,'key money' (non-refundable fee to the landlord),礼金（れいきん）は二（に）か月（げつ）分（ぶん）だ。,The key money is two months' rent.,,11,22,できる日本語 中級 本冊
そろう,そろう,to have all the necessary (things),to be all gathered / complete / matching,全員（ぜんいん）そろった。,Everyone is here.,,11,22,できる日本語 中級 本冊
～層,～そう,generation,a stratum / bracket (of people),,,（年代層）generation,11,22,できる日本語 中級 本冊
独身,どくしん,single,single / unmarried,彼（かれ）はまだ独身（どくしん）だ。,He's still single.,,11,22,できる日本語 中級 本冊
何より,なにより,more than anything,more than anything; (it's) the best,元気（げんき）が何（なに）より。,Health is what matters most.,,11,22,できる日本語 中級 本冊
入居する,にゅうきょする,to move in,to move into (a residence),新（あたら）しいアパートに入居（にゅうきょ）する。,I move into a new apartment.,,11,22,できる日本語 中級 本冊
適度（な）,てきど,moderate,moderate / just the right amount,適度（てきど）な運動（うんどう）をする。,I get a moderate amount of exercise.,,11,22,できる日本語 中級 本冊
完全（な）,かんぜん,completely,complete / perfect / total,完全（かんぜん）に忘（わす）れていた。,I had completely forgotten.,,11,22,できる日本語 中級 本冊
独立する,どくりつする,to be independent,to become independent / set out on one's own,親（おや）から独立（どくりつ）する。,to become independent from one's parents,,11,22,できる日本語 中級 本冊
形態,けいたい,configuration,form / configuration / mode,家族（かぞく）の形態（けいたい）が変（か）わる。,The form of the family changes.,,11,22,できる日本語 中級 本冊
気を遣う,きをつかう,"to make an effort, to be nice",to be considerate / mind others' feelings,周（まわ）りに気（き）を遣（つか）う。,to be considerate of those around you,,11,22,できる日本語 中級 本冊
現代,げんだい,nowadays,the present age / modern times,現代（げんだい）社会（しゃかい）の問題（もんだい）。,problems of modern society,,11,22,できる日本語 中級 本冊
猛暑,もうしょ,heat wave,intense / scorching heat,今年（ことし）の夏（なつ）は猛暑（もうしょ）だ。,This summer is scorching.,,11,22,できる日本語 中級 本冊
Ｕターンする,ユーターンする,to make a U-turn,to make a U-turn (also: move back to one's hometown),就職（しゅうしょく）でＵターンする。,to return to one's hometown for a job,,11,22,できる日本語 中級 本冊
育つ,そだつ,to be brought up,to grow up / be raised (intransitive),田舎（いなか）で育（そだ）った。,I was raised in the countryside.,,11,22,できる日本語 中級 本冊
どんなに,どんなに,however (much),no matter how (much) (paired with 〜ても),どんなに頑張（がんば）っても無理（むり）だった。,"No matter how hard I tried, it was impossible.",,11,22,できる日本語 中級 本冊
少子高齢化,しょうしこうれいか,declining birth rate and ageing society,,,,,11,22,できる日本語 中級 本冊
介護する,かいごする,to nurse,to care for / nurse (the elderly or sick),祖母（そぼ）を介護（かいご）する。,I care for my grandmother.,,11,22,できる日本語 中級 本冊
子育てする,こそだてする,to bring up children,,共働（ともばたら）きで子育（こそだ）てする。,We raise our kids while both working.,,11,22,できる日本語 中級 本冊
～性,～せい,suffix (necessity),-ness / -ity (suffix forming a noun of quality),,,（必要性）suffix (necessity),11,22,できる日本語 中級 本冊
コミュニティー,コミュニティー,community,,,,,11,22,できる日本語 中級 本冊
残業する,ざんぎょうする,to do overtime,,今日（きょう）は残業（ざんぎょう）する。,I'll work overtime today.,,11,22,できる日本語 中級 本冊
衣食住,いしょくじゅう,"food, clothing and shelter",,,,,11,22,できる日本語 中級 本冊
男子,だんし,boy,,,,,11,22,できる日本語 中級 本冊
職場,しょくば,place of work,workplace,職場（しょくば）の人間（にんげん）関係（かんけい）に悩（なや）む。,I struggle with workplace relationships.,,11,22,できる日本語 中級 本冊
昼食,ちゅうしょく,lunch,,,,,11,22,できる日本語 中級 本冊
交じる,まじる,"to mix, to mingle",to mix / mingle (become mixed in among others),大人（おとな）に交（ま）じって子供（こども）も参加（さんか）した。,"Children took part too, mixed in among the adults.",,11,22,できる日本語 中級 本冊
～派,～は,school (of),the ~ camp / type (group with a shared preference),,,（弁当持参派）school (of the packed lunch school),11,22,できる日本語 中級 本冊
やはり,やはり,as expected,as expected / after all / still,やはり彼（かれ）が一番（いちばん）だ。,"As expected, he's the best.",,11,22,できる日本語 中級 本冊
コミュニケーション,コミュニケーション,communication,,,,,11,22,できる日本語 中級 本冊
背景,はいけい,"background, context",background / context (behind an event),事件（じけん）の背景（はいけい）を探（さぐ）る。,to look into the background of the incident,,11,22,できる日本語 中級 本冊
普通,ふつう,"ordinary, normal",,,,,11,22,できる日本語 中級 本冊
美容,びよう,beauty,beauty / beauty care,美容（びよう）に気（き）を遣（つか）う。,to take care over one's appearance,,11,22,できる日本語 中級 本冊
抵抗する,ていこうする,to resist,to resist / put up resistance; feel reluctant,変化（へんか）に抵抗（ていこう）する。,to resist change,,11,22,できる日本語 中級 本冊
反対する,はんたいする,to oppose,,計画（けいかく）に反対（はんたい）する。,to oppose the plan,,11,22,できる日本語 中級 本冊
こだわる,こだわる,to be particular about,to be particular / fussy about; to insist on,味（あじ）にこだわる。,to be particular about taste,,11,22,できる日本語 中級 本冊
皆,みな,everyone,,,,,11,22,できる日本語 中級 本冊
かける,かける,to spend,,,,（お金をかける）to spend (to spend money),11,22,できる日本語 中級 本冊
上司,じょうし,"boss, superior",one's boss / superior at work,上司（じょうし）に相談（そうだん）する。,to consult one's boss,,11,22,できる日本語 中級 本冊
突然,とつぜん,suddenly,suddenly / out of the blue,突然（とつぜん）雨（あめ）が降（ふ）り出（だ）した。,It suddenly started raining.,,11,22,できる日本語 中級 本冊
不景気（な）,ふけいき,economically depressed,(economically) depressed / a slump,不景気（ふけいき）で仕事（しごと）が減（へ）った。,Work has dried up because of the recession.,,11,22,できる日本語 中級 本冊
初婚,しょこん,first marriage,,,,,11,22,できる日本語 中級 本冊
今回,こんかい,this time,this time / on this occasion,今回（こんかい）は見送（みおく）ります。,I'll pass this time.,,11,22,できる日本語 中級 本冊
生涯,しょうがい,lifetime,(one's whole) lifetime,生涯（しょうがい）忘（わす）れない。,I'll never forget it my whole life.,,11,22,できる日本語 中級 本冊
結果,けっか,results,,,,,11,22,できる日本語 中級 本冊
とどまる,とどまる,to stay,to stay / remain (in a place or state),現状（げんじょう）にとどまる。,to remain as things are.,,11,22,できる日本語 中級 本冊
可,か,possible,acceptable / allowed / 'OK' (formal marker),写真（しゃしん）撮影（さつえい）は可（か）です。,Photography is permitted.,,11,23,できる日本語 中級 本冊
周囲,しゅうい,people around you,surroundings / the people around one,周囲（しゅうい）の意見（いけん）を聞（き）く。,to listen to those around you,,11,23,できる日本語 中級 本冊
同意する,どういする,to agree,to consent / agree (formally),条件（じょうけん）に同意（どうい）する。,to agree to the terms,,11,23,できる日本語 中級 本冊
めどが立つ,めどがたつ,to have an outlook,to have a prospect / outlook in sight,完成（かんせい）のめどが立（た）った。,The prospect of completion is now in sight.,,11,23,できる日本語 中級 本冊
資金,しきん,fund,funds / capital,事業（じぎょう）の資金（しきん）を集（あつ）める。,to raise funds for a business,,11,23,できる日本語 中級 本冊
異性,いせい,the opposite sex,the opposite sex,異性（いせい）と話（はな）すのが苦手（にがて）だ。,I'm not good at talking to the opposite sex.,,11,23,できる日本語 中級 本冊
付き合う,つきあう,to interact,to associate with / go out with; keep company,彼女（かのじょ）と三年（さんねん）付（つ）き合（あ）っている。,I've been dating her for three years.,,11,23,できる日本語 中級 本冊
巡り会う,めぐりあう,to encounter,"to come across / encounter (by chance, fatefully)",運命（うんめい）の人（ひと）に巡（めぐ）り会（あ）う。,to meet the love of one's life,,11,23,できる日本語 中級 本冊
失う,うしなう,to lose,to lose (something important),信頼（しんらい）を失（うしな）う。,to lose someone's trust,,11,23,できる日本語 中級 本冊
娯楽,ごらく,amusement,entertainment / amusement / recreation,娯楽（ごらく）が少（すく）ない町（まち）。,a town with little entertainment,,11,23,できる日本語 中級 本冊
学業,がくぎょう,studies,schoolwork / studies,学業（がくぎょう）に専念（せんねん）する。,to focus on one's studies,,11,23,できる日本語 中級 本冊
打ち込む,うちこむ,to dedicate (oneself),to throw oneself into / devote oneself to,研究（けんきゅう）に打（う）ち込（こ）む。,to throw oneself into research,,11,23,できる日本語 中級 本冊
個人,こじん,individual,an individual,個人（こじん）の自由（じゆう）を尊重（そんちょう）する。,to respect individual freedom,,11,23,できる日本語 中級 本冊
当たり前,あたりまえ,natural,natural / obvious / taken for granted,助（たす）け合（あ）うのは当（あ）たり前（まえ）だ。,Helping each other is only natural.,,11,23,できる日本語 中級 本冊
女優,じょゆう,actress,,,,,11,23,できる日本語 中級 本冊
体内時計,たいないどけい,internal clock,,,,,12,24,できる日本語 中級 本冊
機能,きのう,function,function / feature (of a device or the body),このアプリには便利（べんり）な機能（きのう）が多（おお）い。,This app has many useful features.,,12,24,できる日本語 中級 本冊
回転する,かいてんする,rotation,to rotate / spin / turn (verb; gloss is the noun form),コマが勢（いきお）いよく回転（かいてん）する。,The top spins vigorously.,,12,24,できる日本語 中級 本冊
ずれる,ずれる,to be out of alignment,to slip out of place / be off (in timing or position),時計（とけい）が五分（ごふん）ずれている。,The clock is five minutes off.,,12,24,できる日本語 中級 本冊
実践する,じっせんする,to implement,to put into practice / actually carry out,学（まな）んだことを実践（じっせん）する。,I put what I learned into practice.,,12,24,できる日本語 中級 本冊
リセットする,リセットする,to reset,,,,,12,24,できる日本語 中級 本冊
徐々に,じょじょに,gradually,,徐々（じょじょ）に暖（あたた）かくなってきた。,It's gradually getting warmer.,,12,24,できる日本語 中級 本冊
時差ぼけ,じさぼけ,jet lag,,時差（じさ）ぼけで昼間（ひるま）も眠（ねむ）い。,I'm sleepy even in the daytime from jet lag.,,12,24,できる日本語 中級 本冊
乳製品,にゅうせいひん,dairy products,,,,,12,24,できる日本語 中級 本冊
取り分ける,とりわける,to divide,to dish out / portion onto separate plates,料理（りょうり）を皿（さら）に取（と）り分（わ）ける。,I dish the food onto plates.,,12,24,できる日本語 中級 本冊
余分（な）,よぶん,excess,extra / surplus / more than needed,余分（よぶん）なお金（かね）は持（も）っていない。,I don't have any spare money.,,12,24,できる日本語 中級 本冊
エネルギー,エネルギー,energy,,,,,12,24,できる日本語 中級 本冊
脂肪,しぼう,fat,,運動（うんどう）して脂肪（しぼう）を減（へ）らす。,I exercise to reduce body fat.,,12,24,できる日本語 中級 本冊
翌朝,よくあさ,the next morning,the next morning (read よくあさ),翌朝（よくあさ）早（はや）く出発（しゅっぱつ）した。,We left early the next morning.,,12,24,できる日本語 中級 本冊
取る,とる,to get,"to take / get (sleep, rest, time)",毎日（まいにち）十分（じゅうぶん）な睡眠（すいみん）を取（と）る。,I get enough sleep every day.,（睡眠時間を取る）to get (to get hours of sleep),12,24,できる日本語 中級 本冊
心身,しんしん,body and mind,body and mind,心身（しんしん）ともに健康（けんこう）だ。,I'm healthy in both mind and body.,,12,24,できる日本語 中級 本冊
早めに,はやめに,early,a little early / ahead of time,渋滞（じゅうたい）を避（さ）けて早（はや）めに家（いえ）を出（で）た。,I left home a bit early to avoid traffic.,,12,24,できる日本語 中級 本冊
心がける,こころがける,to endeavor,to make a conscious effort to / keep in mind,早寝早起（はやねはやお）きを心（こころ）がける。,I make a point of keeping early hours.,,12,24,できる日本語 中級 本冊
当てはまる,あてはまる,to apply,to apply / be true of / fit (a case or condition),その条件（じょうけん）に当（あ）てはまる人（ひと）は少（すく）ない。,Few people fit that condition.,,12,24,できる日本語 中級 本冊
好き嫌い,すききらい,likes and dislikes,likes and dislikes; (food) pickiness,食（た）べ物（もの）の好（す）き嫌（きら）いが多（おお）い。,He's a picky eater.,,12,24,できる日本語 中級 本冊
不規則（な）,ふきそく,irregular,,不規則（ふきそく）な生活（せいかつ）は体（からだ）に悪（わる）い。,An irregular lifestyle is bad for your health.,,12,24,できる日本語 中級 本冊
息,いき,breath,,ゆっくり大（おお）きく息（いき）を吸（す）う。,Slowly take a deep breath.,,12,24,できる日本語 中級 本冊
切れる,きれる,to be out of,"to run out / be out of (breath, stock)",階段（かいだん）を上（のぼ）って息（いき）が切（き）れた。,I got out of breath climbing the stairs.,（息が切れる）to be out of (to be out of breath),12,24,できる日本語 中級 本冊
肌,はだ,skin,,冬（ふゆ）は肌（はだ）が乾燥（かんそう）する。,My skin gets dry in winter.,,12,24,できる日本語 中級 本冊
要,よう,requires,,,,（要注意）requires (requires caution),12,24,できる日本語 中級 本冊
発散する,はっさんする,to relieve,"to let out / release (stress, energy)",運動（うんどう）でストレスを発散（はっさん）する。,I work off stress through exercise.,,12,24,できる日本語 中級 本冊
わく,わく,to work up,"to well up / arise (appetite, interest)",おいしそうな匂（にお）いで食欲（しょくよく）がわく。,The tasty smell whets my appetite.,（食欲がわく）to work up (to work up an appetite),12,24,できる日本語 中級 本冊
楽（な）,らく,better,easy / comfortable; (feeling) relieved (gloss 'better' is loose),薬（くすり）を飲（の）んだら楽（らく）になった。,I felt better after taking the medicine.,,12,24,できる日本語 中級 本冊
効果,こうか,effect,,薬（くすり）の効果（こうか）がすぐに出（で）た。,The medicine took effect right away.,,12,24,できる日本語 中級 本冊
現れる,あらわれる,to show,to appear / show up / emerge (gloss 'to show' is narrow),練習（れんしゅう）の効果（こうか）が成績（せいせき）に現（あらわ）れた。,The effect of practice showed in my grades.,,12,24,できる日本語 中級 本冊
健康診断,けんこうしんだん,health check,,年（ねん）に一度（いちど）健康診断（けんこうしんだん）を受（う）ける。,I get a health check once a year.,,12,24,できる日本語 中級 本冊
体重,たいじゅう,body weight,,最近（さいきん）体重（たいじゅう）が増（ふ）えた。,I've gained weight lately.,,12,24,できる日本語 中級 本冊
症状,しょうじょう,symptoms,,風邪（かぜ）の症状（しょうじょう）が出（で）てきた。,Cold symptoms have started to appear.,,12,24,できる日本語 中級 本冊
伸びる,のびる,to increase,to grow / improve / lengthen (gloss 'increase' is narrow),練習（れんしゅう）して成績（せいせき）が伸（の）びた。,My grades improved with practice.,,12,24,できる日本語 中級 本冊
体力,たいりょく,"stamina, physical strength",,毎朝（まいあさ）走（はし）って体力（たいりょく）をつける。,I run each morning to build stamina.,,12,24,できる日本語 中級 本冊
