vocab,reading,english,my_meaning,example_jp,example_en,example,lesson,section,page,textbook
軽い,かるい,light (weight),,このかばんは軽いです。,This bag is light.,,2,1,3,できる日本語 初中級 本冊
ちょうどいい,,perfect,just right,この大きさはちょうどいいです。,This size is just right.,,2,1,3,できる日本語 初中級 本冊
丈夫（な）,じょうぶ,sturdy,durable,この鞄は丈夫です。,This bag is durable.,,2,1,3,できる日本語 初中級 本冊
もっと,,more,,もっと大きいかばんがほしいです。,I want a larger bag.,,2,1,3,できる日本語 初中級 本冊
ちょっと,,a little,,ちょっと待ってください。,Please wait a little.,,2,1,3,できる日本語 初中級 本冊
いかがですか,,How is it?,,この色はいかがですか。,How is this color?,,2,1,3,できる日本語 初中級 本冊
かしこまりました,,I understand (humble language),Certainly,かしこまりました。,Certainly.,,2,1,3,できる日本語 初中級 本冊
壁,かべ,wall,,壁にポスターをはります。,I put a poster on the wall.,,2,2,3,できる日本語 初中級 本冊
カレンダー,,calendar,,壁にカレンダーをかけます。,I hang a calendar on the wall.,,2,2,3,できる日本語 初中級 本冊
世界地図,せかいちず,world map,,世界地図を見ます。,I look at a world map.,,2,2,3,できる日本語 初中級 本冊
最新,さいしん,latest, newest,latest,最新のスマホを買いました。,I bought the latest smartphone.,,2,2,3,できる日本語 初中級 本冊
飲み放題,のみほうだい,unlimited drinks,,飲み放題で注文します。,I will order the unlimited drinks.,,2,2,3,できる日本語 初中級 本冊
期間限定,きかんげんてい,limited period,,これは期間限定の商品です。,This is a limited-time product.,,2,2,3,できる日本語 初中級 本冊
セット,,set,,セットで注文したほうが得です。,It is a better deal to order as a set.,,2,2,3,できる日本語 初中級 本冊
フロアガイド,,floor guide,,フロアガイドをもらいました。,I received a floor guide.,,2,2,3,できる日本語 初中級 本冊
意味,いみ,meaning,,この言葉の意味を知っていますか。,Do you know the meaning of this word?,,2,2,3,できる日本語 初中級 本冊
営業中,えいぎょうちゅう,open (for business),Open,あの店はまだ営業中です。,That store is still open.,,2,2,3,できる日本語 初中級 本冊
大盛り,おおもり,extra-large helping,large portion,ご飯を大盛りにしてください。,Please give me a large portion of rice.,,2,2,3,できる日本語 初中級 本冊
おかわり,refill, second helping,,おかわりをお願いします。,I would like a refill.,,2,2,3,できる日本語 初中級 本冊
送料,そうりょう,shipping charges,,送料はいくらですか。,How much are the shipping charges?,,2,2,3,できる日本語 初中級 本冊
タイムサービス,,limited time offer,happy hour,タイムサービスで半額です。,It is half-price during the happy hour.,,2,2,3,できる日本語 初中級 本冊
定休日,ていきゅうび,regular holiday,,今日は定休日です。,Today is the regular holiday.,,2,2,3,できる日本語 初中級 本冊
本日,ほんじつ,today,today (formal),本日はお休みです。,We are closed today.,,2,2,3,できる日本語 初中級 本冊
半額,はんがく,half-price,,半額で買いました。,I bought it for half-price.,,2,2,3,できる日本語 初中級 本冊
レディースデー,,Lady's Day,,レディースデーだから安いです。,It is cheap because it is Lady's Day.,,2,2,3,できる日本語 初中級 本冊
量,りょう,amount,,量が多くて食べられません。,The amount is too large, so I can't eat it.,,2,2,3,できる日本語 初中級 本冊
親子丼,おやこどん,oyako-don (bowl of rice topped with boiled chicken and eggs),,親子丼を食べたことがあります。,I have eaten oyako-don before.,,2,2,3,できる日本語 初中級 本冊
牛丼,ぎゅうどん,gyu-don (bowl of rice topped with seasoned beef),,牛丼は安くておいしいです。,Gyu-don is cheap and delicious.,,2,2,3,できる日本語 初中級 本冊
サンドイッチ,,sandwich,,サンドイッチを作りました。,I made a sandwich.,,2,2,3,できる日本語 初中級 本冊
ソース,,sauce,,とんかつにソースをかける。,Put sauce on pork cutlet.,,2,2,3,できる日本語 初中級 本冊
～券,けん,ticket,,割引券を持っています。,I have a discount ticket.,,2,2,3,できる日本語 初中級 本冊
かける,,hang, attach,,カレンダーをかける。,Hang up a calendar.,,2,2,3,できる日本語 初中級 本冊
貼る,はる,affix,,壁にポスターを貼ります。,I affix a poster to the wall.,,2,2,3,できる日本語 初中級 本冊
かける,,put on (something),put on (liquid/seasoning),ソースをかける。,Put on sauce.,,2,2,3,できる日本語 初中級 本冊
注文・する,ちゅうもん・する,order,,コーヒーを注文しました。,I ordered coffee.,,2,2,3,できる日本語 初中級 本冊
割引・する,わりびき・する,discount,,この本は割引されます。,This book will be discounted.,,2,2,3,できる日本語 初中級 本冊
両替・する,りょうがえ・する,exchange for small money,change into small bills/coins,一万円札を両替してください。,Please change this 10,000 yen bill.,,2,2,4,できる日本語 初中級 本冊
得（な）,とく,good at (something),a good deal, advantageous,このシャツはとても得です。,This shirt is a really good deal.,,2,2,4,できる日本語 初中級 本冊
特別（な）,とくべつ,special,,特別な料理を作ります。,I will make a special dish.,,2,2,4,できる日本語 初中級 本冊
どういう,,what kind of,,どういう意味ですか。,What kind of meaning is it?,,2,2,4,できる日本語 初中級 本冊
もう,,another,,もう一杯お願いします。,Another drink, please.,,2,2,4,できる日本語 初中級 本冊
大変,たいへん,very,very/extremely,大変おいしいです。,It is very delicious.,,2,もう一度聞こう,4,できる日本語 初中級 本冊
デザート,,dessert,,食後にデザートを食べます。,I eat dessert after a meal.,,2,もう一度聞こう,4,できる日本語 初中級 本冊
笑顔,えがお,smile,,笑顔が素敵です。,Your smile is wonderful.,,3,話読聞書,5,できる日本語 初中級 本冊
悲しい,かなしい,sad,,映画を見て悲しくなりました。,I became sad after watching the movie.,,3,話読聞書,5,できる日本語 初中級 本冊
給料,きゅうりょう,salary,,給料が上がりました。,My salary went up.,,3,1,5,できる日本語 初中級 本冊
サークル,,club, group,,大学でサークルに入りました。,I joined a club in college.,,3,1,5,できる日本語 初中級 本冊
説明会,せつめいかい,explanatory meeting,,明日説明会があります。,There is an explanatory meeting tomorrow.,,3,1,5,できる日本語 初中級 本冊
専門学校,せんもんがっこう,vocational school,,専門学校で日本語を勉強します。,I study Japanese at a vocational school.,,3,1,5,できる日本語 初中級 本冊
見学会,けんがくかい,observation tour,,工場の見学会に参加します。,I participate in the factory observation tour.,,3,1,5,できる日本語 初中級 本冊
学部,がくぶ,academic department,,経済学部の学生です。,I am a student in the economics department.,,3,1,5,できる日本語 初中級 本冊
経済,けいざい,economics, economy,,経済について勉強します。,I study about the economy.,,3,1,5,できる日本語 初中級 本冊
法律,ほうりつ,law,,法律を守らなければなりません。,You must obey the law.,,3,1,5,できる日本語 初中級 本冊
カナダ,,Canada,,カナダから来ました。,I came from Canada.,,3,1,5,できる日本語 初中級 本冊
聴解,ちょうかい,listening comprehension,,聴解のテストは難しかったです。,The listening comprehension test was difficult.,,3,1,5,できる日本語 初中級 本冊
アクセサリー,,jewelry,,きれいなアクセサリーをつけています。,I am wearing pretty jewelry.,,3,1,5,できる日本語 初中級 本冊
一生懸命,いっしょうけんめい,(do) one's very best,,一生懸命勉強します。,I will study with my utmost effort.,,3,1,5,できる日本語 初中級 本冊
答え,こたえ,answer, response,,質問の答えがわかりません。,I don't know the answer to the question.,,3,1,5,できる日本語 初中級 本冊
試験,しけん,examination,,明日試験があります。,There is an exam tomorrow.,,3,1,5,できる日本語 初中級 本冊
将来,しょうらい,future,,将来の夢は何ですか。,What is your future dream?,,3,1,5,できる日本語 初中級 本冊
ビジネス,,business,,ビジネスのメールを書きます。,I write business emails.,,3,1,5,できる日本語 初中級 本冊
日本語能力試験,にほんごのうりょくしけん,Japanese Language Proficiency Test,,日本語能力試験を受けます。,I will take the JLPT.,,3,1,5,できる日本語 初中級 本冊
間違い,まちがい,mistake,,間違いを直してください。,Please correct the mistake.,,3,1,5,できる日本語 初中級 本冊
寮,りょう,dormitory,,学校の寮に住んでいます。,I live in the school dormitory.,,3,1,5,できる日本語 初中級 本冊
目標,もくひょう,goal, target,,目標を決めました。,I decided on a goal.,,3,1,5,できる日本語 初中級 本冊
～料,りょう,charges, fees,,授業料を払います。,I pay tuition fees.,,3,1,5,できる日本語 初中級 本冊
翻訳・する,ほんやく・する,translate,,英語を日本語に翻訳します。,I translate English into Japanese.,,3,1,5,できる日本語 初中級 本冊
調べる,しらべる,examine,,インターネットで調べます。,I examine it on the internet.,,3,1,5,できる日本語 初中級 本冊
見学・する,けんがく・する,tour, observe,,工場を見学します。,I will tour the factory.,,3,1,5,できる日本語 初中級 本冊
相談・する,そうだん・する,consult with, ask someone's advice,,先生に相談します。,I will consult with my teacher.,,3,1,5,できる日本語 初中級 本冊
貯金・する,ちょきん・する,save up money,,毎月貯金しています。,I save money every month.,,3,1,5,できる日本語 初中級 本冊
留学・する,りゅうがく・する,study abroad,,アメリカに留学したいです。,I want to study abroad in America.,,3,1,5,できる日本語 初中級 本冊
開く,ひらく,open,,自分の店を開く。,Open your own store.,,3,1,5,できる日本語 初中級 本冊
続ける,つづける,continue,,日本語の勉強を続けます。,I will continue studying Japanese.,,3,1,5,できる日本語 初中級 本冊
やめる,,stop,,アルバイトをやめました。,I quit my part-time job.,,3,1,5,できる日本語 初中級 本冊
受ける,うける,receive,,試験を受けます。,I will take an exam.,,3,1,5,できる日本語 初中級 本冊
案内・する,あんない・する,guide,,ホテルまで案内します。,I will guide you to the hotel.,,3,1,5,できる日本語 初中級 本冊
進学・する,しんがく・する,proceed to higher education,,大学に進学します。,I will proceed to higher education.,,3,1,5,できる日本語 初中級 本冊
通学・する,つうがく・する,commute to school,,毎日電車で通学します。,I commute to school by train every day.,,3,1,5,できる日本語 初中級 本冊
選ぶ,えらぶ,select, choose,,自分の道を選びます。,I will choose my own path.,,3,1,5,できる日本語 初中級 本冊
迷う,まよう,waver, hesitate,to be undecided,国へ帰るかどうか迷っている。,I am undecided about whether to return to my country.,,3,1,5,できる日本語 初中級 本冊
考える,かんがえる,think about,,将来のことを考えます。,I think about the future.,,3,1,5,できる日本語 初中級 本冊
決める,きめる,decide,,进路を決めました。,I decided on my career path.,,3,1,5,できる日本語 初中級 本冊
合格・する,ごうかく・する,pass (an examination),,試験に合格しました。,I passed the exam.,,3,1,5,できる日本語 初中級 本冊
専攻・する,せんこう・する,specialize in, major in,,経済を専攻しています。,I am majoring in economics.,,3,1,5,できる日本語 初中級 本冊
悩む,なやむ,be troubled over, be worried about,,仕事で悩んでいます。,I am worried about work.,,3,1,5,できる日本語 初中級 本冊
就職・する,しゅうしょく・する,find a job,,来年就職します。,I will find a job next year.,,3,1,5,できる日本語 初中級 本冊
確認・する,かくにん・する,confirm, check,,スケジュールを確認します。,I check the schedule.,,3,1,5,できる日本語 初中級 本冊
正しい,ただしい,correct,,これは正しい答えです。,This is the correct answer.,,3,1,5,できる日本語 初中級 本冊
建築家,けんちくか,architect,,建築家になりたいです。,I want to become an architect.,,3,2,5,できる日本語 初中級 本冊
デザイナー,,designer,,服のデザイナーです。,I am a clothing designer.,,3,2,5,できる日本語 初中級 本冊
夢,ゆめ,dream,,夢がかないました。,My dream came true.,,3,2,5,できる日本語 初中級 本冊
スーツ,,business suit,,面接でスーツを着ます。,I wear a business suit for the interview.,,3,2,5,できる日本語 初中級 本冊
願書,がんしょ,application,,大学に願書を出しました。,I submitted my application to the university.,,3,2,5,できる日本語 初中級 本冊
事務室,じむしつ,office,,事務室にいます。,I am in the office.,,3,2,5,できる日本語 初中級 本冊
書類,しょるい,documents,,書類を持ってきてください。,Please bring the documents.,,3,2,5,できる日本語 初中級 本冊
～中,じゅう,during (a period),,今日中に終わらせます。,I will finish it within today.,,3,2,5,できる日本語 初中級 本冊
経営・する,けいえい・する,manage (a business),,自分の会社を経営しています。,I manage my own company.,,3,2,5,できる日本語 初中級 本冊
体験・する,たいけん・する,experience,,日本の文化を体験します。,I experience Japanese culture.,,3,2,6,できる日本語 初中級 本冊
頑張る,がんばる,do one's best,,試験に頑張ります。,I will do my best on the exam.,,3,2,6,できる日本語 初中級 本冊
スピーチ・する,,give a speech,,みんなの前でスピーチをします。,I will give a speech in front of everyone.,,3,2,6,できる日本語 初中級 本冊
受験・する,じゅけん・する,take an examination,,大学を受験します。,I will take a university entrance exam.,,3,2,6,できる日本語 初中級 本冊
復習・する,ふくしゅう・する,review (a lesson),,家で復習します。,I review at home.,,3,2,6,できる日本語 初中級 本冊
予習・する,よしゅう・する,prepare for (a lesson),,明日の授業の予習をします。,I prepare for tomorrow's class.,,3,2,6,できる日本語 初中級 本冊
デッサン・する,,produce a drawing,,美術館でデッサンをします。,I produce a drawing at the art museum.,,3,2,6,できる日本語 初中級 本冊
通訳,つうやく,interpreting,,通訳の仕事をします。,I do interpreting work.,,3,もう一度聞こう,6,できる日本語 初中級 本冊
パティシエ,,pastry baker (from the French word pâtissier),,パティシエになりたいです。,I want to become a pastry baker.,,3,もう一度聞こう,6,できる日本語 初中級 本冊
味,あじ,taste, flavor,,このスープは味が薄いです。,This soup has a weak flavor.,,4,話読聞書,7,できる日本語 初中級 本冊
タコ,,octopus,,タコを食べたことがあります。,I have eaten octopus.,,4,話読聞書,7,できる日本語 初中級 本冊
たこ焼き,たこやき,takoyaki (fried octopus dumpling balls),,たこ焼きを作りました。,I made takoyaki.,,4,話読聞書,7,できる日本語 初中級 本冊
におい,,smell,,いいにおいがします。,It smells good.,,4,話読聞書,7,できる日本語 初中級 本冊
～がする,,make a (noise, smell),,変なにおいがします。,There is a strange smell.,,4,話読聞書,7,できる日本語 初中級 本冊
通る,とおる,pass through,,この道を通ってください。,Please pass through this road.,,4,話読聞書,7,できる日本語 初中級 本冊
似る,にる,be similar to,,母に似ています。,I am similar to my mother.,,4,話読聞書,7,できる日本語 初中級 本冊
丸い,まるい,round,,丸いテーブルがあります。,There is a round table.,,4,話読聞書,7,できる日本語 初中級 本冊
小さな,ちいさな,small,,小さな猫がいます。,There is a small cat.,,4,話読聞書,7,できる日本語 初中級 本冊
美容院,びよういん,beauty salon,,美容院で髪を切りました。,I cut my hair at a beauty salon.,,4,1,7,できる日本語 初中級 本冊
空港,くうこう,airport,,空港へ友達を迎えに行きます。,I go to the airport to pick up my friend.,,4,1,7,できる日本語 初中級 本冊
歯科,しか,dentist,,歯科に行かなければなりません。,I have to go to the dentist.,,4,1,7,できる日本語 初中級 本冊
市民,しみん,citizen,,市民の皆さんに知らせます。,I will inform the citizens.,,4,1,7,できる日本語 初中級 本冊
三味線,しゃみせん,shamisen (three-stringed Japanese musical instrument),,三味線を弾きます。,I play the shamisen.,,4,1,7,できる日本語 初中級 本冊
種類,しゅるい,type,,いろいろな種類の魚がいます。,There are various types of fish.,,4,1,7,できる日本語 初中級 本冊
水道,すいどう,water service,,水道が止まりました。,The water service stopped.,,4,1,7,できる日本語 初中級 本冊
てんぷら,,tempura (battered and deep-fried vegetables and seafood),,てんぷらが好きです。,I like tempura.,,4,1,7,できる日本語 初中級 本冊
不動産,ふどうさん,real estate,,不動産屋でアパートを探します。,I look for an apartment at a real estate agency.,,4,1,7,できる日本語 初中級 本冊
交流会,こうりゅうかい,(cultural) exchange meeting,,交流会に参加します。,I participate in the exchange meeting.,,4,1,7,できる日本語 初中級 本冊
小学校,しょうがっこう,elementary school,,小学校で英語を教えます。,I teach English at an elementary school.,,4,1,7,できる日本語 初中級 本冊
市役所,しやくしょ,city hall,,市役所で手続きをします。,I do paperwork at city hall.,,4,1,7,できる日本語 初中級 本冊
情報,じょうほう,information,,インターネットで情報を集めます。,I gather information on the internet.,,4,1,7,できる日本語 初中級 本冊
タオル,,towel,,タオルで汗を拭きます。,I wipe my sweat with a towel.,,4,1,7,できる日本語 初中級 本冊
茶道,さどう,sado (traditional Japanese tea ceremony),,茶道を習っています。,I am learning sado.,,4,1,7,できる日本語 初中級 本冊
センター,,center,,国際センターに行きます。,I go to the international center.,,4,1,7,できる日本語 初中級 本冊
～場,じょう,place, location,,サッカー場で遊びました。,I played at the soccer field.,,4,1,7,できる日本語 初中級 本冊
～口,ぐち,entrance, exit,,西口で待っています。,I am waiting at the west exit.,,4,1,7,できる日本語 初中級 本冊
かかる,,take,,この仕事は2時間かかります。,This work takes 2 hours.,,4,1,7,できる日本語 初中級 本冊
質問・する,しつもん・する,ask a question,,先生に質問します。,I ask the teacher a question.,,4,1,7,できる日本語 初中級 本冊
カット・する,,cut,,髪をカットしました。,I cut my hair.,,4,1,7,できる日本語 初中級 本冊
紹介・する,しょうかい・する,introduce,,友達を先生に紹介します。,I introduce my friend to the teacher.,,4,1,7,できる日本語 初中級 本冊
修理・する,しゅうり・する,repair,,壊れたテレビを修理します。,I repair the broken TV.,,4,1,7,できる日本語 初中級 本冊
知らせる,しらせる,notify, inform,,変更を知らせます。,I will notify you of the changes.,,4,1,7,できる日本語 初中級 本冊
止まる,とまる,stop,,水が止まる。,The water has stopped running.,,4,1,7,できる日本語 初中級 本冊
出る,でる,operate,to depart (vehicles),バスが出る。,The bus departs.,,4,1,7,できる日本語 初中級 本冊
着く,つく,arrive,,ホテルに着きました。,I arrived at the hotel.,,4,1,7,できる日本語 初中級 本冊
利用・する,りよう・する,use,,図書館を利用します。,I use the library.,,4,1,7,できる日本語 初中級 本冊
必要（な）,ひつよう,needed, necessary,,パスポートが必要です。,A passport is necessary.,,4,1,7,できる日本語 初中級 本冊
大使館,たいしかん,embassy,,大使館でパスポートを作ります。,I make my passport at the embassy.,,4,2,7,できる日本語 初中級 本冊
メートル,,meter (units of measurement),,ここから駅まで500メートルです。,It is 500 meters from here to the station.,,4,2,7,できる日本語 初中級 本冊
次,つぎ,next,,次の信号を右に曲がってください。,Please turn right at the next traffic light.,,4,2,7,できる日本語 初中級 本冊
坂,さか,hill, slope,,急な坂を上ります。,I go up a steep slope.,,4,2,7,できる日本語 初中級 本冊
～階建て,かいだて,building with ~ floors,,この建物は4階建てです。,This building has 4 floors.,,4,2,7,できる日本語 初中級 本冊
～番線,ばんせん,number ~ train/subway line,,3番線から電車が出ます。,The train leaves from platform 3.,,4,2,7,できる日本語 初中級 本冊
～行き,ゆき,destination,,これは新宿行きの電車です。,This is the train bound for Shinjuku.,,4,2,7,できる日本語 初中級 本冊
上る,のぼる,move upward,,階段を上ります。,I go up the stairs.,,4,2,7,できる日本語 初中級 本冊
下りる,おりる,move downward,,山を下りります。,I go down the mountain.,,4,2,7,できる日本語 初中級 本冊
駐車・する,ちゅうしゃ・する,park (a vehicle),,ここに駐車しないでください。,Please do not park here.,,4,2,7,できる日本語 初中級 本冊
中学校,ちゅうがっこう,middle school, junior high school,,中学校の先生になります。,I will become a junior high school teacher.,,4,もう一度聞こう,7,できる日本語 初中級 本冊
池,いけ,pond,,公園に池があります。,There is a pond in the park.,,5,1,8,できる日本語 初中級 本冊
階段,かいだん,stairs,,階段から落ちました。,I fell down the stairs.,,5,1,8,できる日本語 初中級 本冊
切符,きっぷ,ticket,,切符を買いました。,I bought a ticket.,,5,1,8,できる日本語 初中級 本冊
線路,せんろ,(train, subway) line,,線路に物を落とさないでください。,Please do not drop things on the tracks.,,5,1,8,できる日本語 初中級 本冊
定期券,ていきけん,commuter pass,,定期券を使います。,I use a commuter pass.,,5,1,8,できる日本語 初中級 本冊
ケース,,case,,このケースは丈夫です。,This case is durable.,,5,1,8,できる日本語 初中級 本冊
忘れ物,わすれもの,"lost items, lost-and-found",,忘れ物をしました。,I left something behind.,,5,1,8,できる日本語 初中級 本冊
鍵,かぎ,key,,鍵をかけてください。,Please lock the door.,,5,1,8,できる日本語 初中級 本冊
辺,へん,area,,この辺にコンビニがありますか。,Is there a convenience store around this area?,,5,1,8,できる日本語 初中級 本冊
