"vocab","reading","english","my_meaning","example_jp","example_en","example","lesson","section","page","textbook"
"得（な）","とく","good at (something)","","","","","2","2","4","できる日本語 初中級 本冊"
"特別（な）","とくべつ","special","","","","","2","2","4","できる日本語 初中級 本冊"
"どういう","","what kind of","","","","","2","2","4","できる日本語 初中級 本冊"
"もう","","another","","もう一杯","another drink","","2","2","4","できる日本語 初中級 本冊"
"大変","たいへん","very","","","","","2","もう一度聞こう","4","できる日本語 初中級 本冊"
"デザート","","dessert","","","","","2","もう一度聞こう","4","できる日本語 初中級 本冊"
"笑顔","えがお","smile","","","","","3","話読聞書","5","できる日本語 初中級 本冊"
"悲しい","かなしい","sad","","","","","3","話読聞書","5","できる日本語 初中級 本冊"
"給料","きゅうりょう","salary","","","","","3","1","5","できる日本語 初中級 本冊"
"サークル","","club, group","","","","","3","1","5","できる日本語 初中級 本冊"
"説明会","せつめいかい","explanatory meeting","","","","","3","1","5","できる日本語 初中級 本冊"
"専門学校","せんもんがっこう","vocational school","","","","","3","1","5","できる日本語 初中級 本冊"
"見学会","けんがくかい","observation tour","","","","","3","1","5","できる日本語 初中級 本冊"
"学部","がくぶ","academic department","","","","","3","1","5","できる日本語 初中級 本冊"
"経済","けいざい","economics, economy","","","","","3","1","5","できる日本語 初中級 本冊"
"法律","ほうりつ","law","","","","","3","1","5","できる日本語 初中級 本冊"
"カナダ","","Canada","","","","","3","1","5","できる日本語 初中級 本冊"
"聴解","ちょうかい","listening comprehension","","","","","3","1","5","できる日本語 初中級 本冊"
"アクセサリー","","jewelry","","","","","3","1","5","できる日本語 初中級 本冊"
"一生懸命","いっしょうけんめい","(do) one's very best","","","","","3","1","5","できる日本語 初中級 本冊"
"答え","こたえ","answer, response","","","","","3","1","5","できる日本語 初中級 本冊"
"試験","しけん","examination","","","","","3","1","5","できる日本語 初中級 本冊"
"将来","しょうらい","future","","","","","3","1","5","できる日本語 初中級 本冊"
"ビジネス","","business","","","","","3","1","5","できる日本語 初中級 本冊"
"日本語能力試験","にほんごのうりょくしけん","Japanese Language Proficiency Test","","","","","3","1","5","できる日本語 初中級 本冊"
"間違い","まちがい","mistake","","","","","3","1","5","できる日本語 初中級 本冊"
"寮","りょう","dormitory","","","","","3","1","5","できる日本語 初中級 本冊"
"目標","もくひょう","goal, target","","","","","3","1","5","できる日本語 初中級 本冊"
"～料","りょう","charges, fees","","授業料","tuition","","3","1","5","できる日本語 初中級 本冊"
"翻訳・する","ほんやく・する","translate","","","","","3","1","5","できる日本語 初中級 本冊"
"調べる","しらべる","examine","","","","","3","1","5","できる日本語 初中級 本冊"
"見学・する","けんがく・する","tour, observe","","","","","3","1","5","できる日本語 初中級 本冊"
"相談・する","そうだん・する","consult with, ask someone's advice","","","","","3","1","5","できる日本語 初中級 本冊"
"貯金・する","ちょきん・する","save up money","","","","","3","1","5","できる日本語 初中級 本冊"
"留学・する","りゅうがく・する","study abroad","","","","","3","1","5","できる日本語 初中級 本冊"
"開く","ひらく","open","","自分の店を開く。","open your own store","","3","1","5","できる日本語 初中級 本冊"
"続ける","つづける","continue","","","","","3","1","5","できる日本語 初中級 本冊"
"やめる","","stop","","","","","3","1","5","できる日本語 初中級 本冊"
"受ける","うける","receive","","","","","3","1","5","できる日本語 初中級 本冊"
"案内・する","あんない・する","guide","","","","","3","1","5","できる日本語 初中級 本冊"
"進学・する","しんがく・する","proceed to higher education","","","","","3","1","5","できる日本語 初中級 本冊"
"通学・する","つうがく・する","commute to school","","","","","3","1","5","できる日本語 初中級 本冊"
"選ぶ","えらぶ","select, choose","","","","","3","1","5","できる日本語 初中級 本冊"
"迷う","まよう","waver, hesitate","","国へ帰るかどうか迷っている。","wavering whether to return to my country or not","","3","1","5","できる日本語 初中級 本冊"
"考える","かんがえる","think about","","","","","3","1","5","できる日本語 初中級 本冊"
"決める","きめる","decide","","","","","3","1","5","できる日本語 初中級 本冊"
"合格・する","ごうかく・する","pass (an examination)","","","","","3","1","5","できる日本語 初中級 本冊"
"専攻・する","せんこう・する","specialize in, major in","","","","","3","1","5","できる日本語 初中級 本冊"
"悩む","なやむ","be troubled over, be worried about","","","","","3","1","5","できる日本語 初中級 本冊"
"就職・する","しゅうしょく・する","find a job","","","","","3","1","5","できる日本語 初中級 本冊"
"確認・する","かくにん・する","confirm, check","","","","","3","1","5","できる日本語 初中級 本冊"
"正しい","ただしい","correct","","","","","3","1","5","できる日本語 初中級 本冊"
"建築家","けんちくか","architect","","","","","3","2","5","できる日本語 初中級 本冊"
"デザイナー","","designer","","","","","3","2","5","できる日本語 初中級 本冊"
"夢","ゆめ","dream","","","","","3","2","5","できる日本語 初中級 本冊"
"スーツ","","business suit","","","","","3","2","5","できる日本語 初中級 本冊"
"願書","がんしょ","application","","","","","3","2","5","できる日本語 初中級 本冊"
"事務室","じむしつ","office","","","","","3","2","5","できる日本語 初中級 本冊"
"書類","しょるい","documents","","","","","3","2","5","できる日本語 初中級 本冊"
"～中","じゅう","during (a period)","","今日中","during today","","3","2","5","できる日本語 初中級 本冊"
"経営・する","けいえい・する","manage (a business)","","","","","3","2","5","できる日本語 初中級 本冊"
"体験・する","たいけん・する","experience","","","","","3","2","6","できる日本語 初中級 本冊"
"頑張る","がんばる","do one's best","","","","","3","2","6","できる日本語 初中級 本冊"
"スピーチ・する","","give a speech","","","","","3","2","6","できる日本語 初中級 本冊"
"受験・する","じゅけん・する","take an examination","","","","","3","2","6","できる日本語 初中級 本冊"
"復習・する","ふくしゅう・する","review (a lesson)","","","","","3","2","6","できる日本語 初中級 本冊"
"予習・する","よしゅう・する","prepare for (a lesson)","","","","","3","2","6","できる日本語 初中級 本冊"
"デッサン・する","","produce a drawing","","","","","3","2","6","できる日本語 初中級 本冊"
"通訳","つうやく","interpreting","","","","","3","もう一度聞こう","6","できる日本語 初中級 本冊"
"パティシエ","","pastry baker (from the French word pâtissier)","","","","","3","もう一度聞こう","6","できる日本語 初中級 本冊"
"味","あじ","taste, flavor","","","","","4","話読聞書","7","できる日本語 初中級 本冊"
"タコ","","octopus","","","","","4","話読聞書","7","できる日本語 初中級 本冊"
"たこ焼き","たこやき","takoyaki (fried octopus dumpling balls)","","","","","4","話読聞書","7","できる日本語 初中級 本冊"
"におい","","smell","","","","","4","話読聞書","7","できる日本語 初中級 本冊"
"～がする","","make a (noise, smell)","","","","","4","話読聞書","7","できる日本語 初中級 本冊"
"通る","とおる","pass through","","","","","4","話読聞書","7","できる日本語 初中級 本冊"
"似る","にる","be similar to","","","","","4","話読聞書","7","できる日本語 初中級 本冊"
"丸い","まるい","round","","","","","4","話読聞書","7","できる日本語 初中級 本冊"
"小さな","ちいさな","small","","","","","4","話読聞書","7","できる日本語 初中級 本冊"
"美容院","びよういん","beauty salon","","","","","4","1","7","できる日本語 初中級 本冊"
"空港","くうこう","airport","","","","","4","1","7","できる日本語 初中級 本冊"
"歯科","しか","dentist","","","","","4","1","7","できる日本語 初中級 本冊"
"市民","しみん","citizen","","","","","4","1","7","できる日本語 初中級 本冊"
"三味線","しゃみせん","shamisen (three-stringed Japanese musical instrument)","","","","","4","1","7","できる日本語 初中級 本冊"
"種類","しゅるい","type","","","","","4","1","7","できる日本語 初中級 本冊"
"水道","すいどう","water service","","","","","4","1","7","できる日本語 初中級 本冊"
"てんぷら","","tempura (battered and deep-fried vegetables and seafood)","","","","","4","1","7","できる日本語 初中級 本冊"
"不動産","ふどうさん","real estate","","","","","4","1","7","できる日本語 初中級 本冊"
"交流会","こうりゅうかい","(cultural) exchange meeting","","","","","4","1","7","できる日本語 初中級 本冊"
"小学校","しょうがっこう","elementary school","","","","","4","1","7","できる日本語 初中級 本冊"
"市役所","しやくしょ","city hall","","","","","4","1","7","できる日本語 初中級 本冊"
"情報","じょうほう","information","","","","","4","1","7","できる日本語 初中級 本冊"
"タオル","","towel","","","","","4","1","7","できる日本語 初中級 本冊"
"茶道","さどう","sado (traditional Japanese tea ceremony)","","","","","4","1","7","できる日本語 初中級 本冊"
"センター","","center","","","","","4","1","7","できる日本語 初中級 本冊"
"～場","じょう","place, location","","サッカー場","soccer field","","4","1","7","できる日本語 初中級 本冊"
"～口","ぐち","entrance, exit","","西口","west exit","","4","1","7","できる日本語 初中級 本冊"
"かかる","","take","","","","","4","1","7","できる日本語 初中級 本冊"
"質問・する","しつもん・する","ask a question","","","","","4","1","7","できる日本語 初中級 本冊"
"カット・する","","cut","","","","","4","1","7","できる日本語 初中級 本冊"
"紹介・する","しょうかい・する","introduce","","","","","4","1","7","できる日本語 初中級 本冊"
"修理・する","しゅうり・する","repair","","","","","4","1","7","できる日本語 初中級 本冊"
"知らせる","しらせる","notify, inform","","","","","4","1","7","できる日本語 初中級 本冊"
"止まる","とまる","stop","","水が止まる。","the water has stopped running","","4","1","7","できる日本語 初中級 本冊"
"出る","でる","operate","","バスが出る。","(They) run a bus service.","","4","1","7","できる日本語 初中級 本冊"
"着く","つく","arrive","","","","","4","1","7","できる日本語 初中級 本冊"
"利用・する","りよう・する","use","","","","","4","1","7","できる日本語 初中級 本冊"
"必要（な）","ひつよう","needed, necessary","","","","","4","1","7","できる日本語 初中級 本冊"
"大使館","たいしかん","embassy","","","","","4","2","7","できる日本語 初中級 本冊"
"メートル","","meter (units of measurement)","","","","","4","2","7","できる日本語 初中級 本冊"
"次","つぎ","next","","","","","4","2","7","できる日本語 初中級 本冊"
"坂","さか","hill, slope","","","","","4","2","7","できる日本語 初中級 本冊"
"～階建て","かいだて","building with ~ floors","","4階建て","4-floor building","","4","2","7","できる日本語 初中級 本冊"
"～番線","ばんせん","number ~ train/subway line","","3番線","number 3 line","","4","2","7","できる日本語 初中級 本冊"
"～行き","ゆき","destination","","新宿行き","train/subway heading to Shinjuku","","4","2","7","できる日本語 初中級 本冊"
"上る","のぼる","move upward","","","","","4","2","7","できる日本語 初中級 本冊"
"下りる","おりる","move downward","","","","","4","2","7","できる日本語 初中級 本冊"
"駐車・する","ちゅうしゃ・する","park (a vehicle)","","","","","4","2","7","できる日本語 初中級 本冊"
"中学校","ちゅうがっこう","middle school, junior high school","","","","","4","もう一度聞こう","7","できる日本語 初中級 本冊"
"池","いけ","pond","","","","","5","1","8","できる日本語 初中級 本冊"
"階段","かいだん","stairs","","","","","5","1","8","できる日本語 初中級 本冊"
"切符","きっぷ","ticket","","","","","5","1","8","できる日本語 初中級 本冊"
"線路","せんろ","(train, subway) line","","","","","5","1","8","できる日本語 初中級 本冊"
"定期券","ていきけん","commuter pass","","","","","5","1","8","できる日本語 初中級 本冊"
"ケース","","case","","","","","5","1","8","できる日本語 初中級 本冊"
"忘れ物","わすれもの","lost items, lost-and-found","","","","","5","1","8","できる日本語 初中級 本冊"
"鍵","かぎ","key","","","","","5","1","8","できる日本語 初中級 本冊"
"辺","へん","area","","","","","5","1","8","できる日本語 初中級 本冊"
"途中","とちゅう","in the middle of (doing something)","","","","","5","1","8","できる日本語 初中級 本冊"
"カード","","card","","","","","5","1","8","できる日本語 初中級 本冊"
"銀行のカード","ぎんこうのカード","bank card","","","","","5","1","8","できる日本語 初中級 本冊"
"革","かわ","leather","","","","","5","1","8","できる日本語 初中級 本冊"
"教科書","きょうかしょ","textbook","","","","","5","1","8","できる日本語 初中級 本冊"
"警官","けいかん","policeman","","","","","5","1","8","できる日本語 初中級 本冊"
"ハート","","heart","","","","","5","1","8","できる日本語 初中級 本冊"
"ピンク","","pink","","","","","5","1","8","できる日本語 初中級 本冊"
"星","ほし","star","","","","","5","1","8","できる日本語 初中級 本冊"
"緑","みどり","green","","","","","5","1","8","できる日本語 初中級 本冊"
"横長","よこなが","long from side to side","","","","","5","1","8","できる日本語 初中級 本冊"
"色","いろ","color","","","","","5","1","8","できる日本語 初中級 本冊"
"大きさ","おおきさ","size","","","","","5","1","8","できる日本語 初中級 本冊"
"形","かたち","shape","","","","","5","1","8","できる日本語 初中級 本冊"
"預かる","あずかる","leave (something, someone) in someone's care, check in (baggage)","","","","","5","1","8","できる日本語 初中級 本冊"
"落とす","おとす","drop","","","","","5","1","8","できる日本語 初中級 本冊"
"なくなる","","lose (something)","","自転車がなくなった。","I lost my bicycle.","","5","1","8","できる日本語 初中級 本冊"
"乗り過ごす","のりすごす","miss one's stop","","","","","5","1","8","できる日本語 初中級 本冊"
"間違える","まちがえる","make a mistake","","","","","5","1","8","できる日本語 初中級 本冊"
"迷う","まよう","lose (one's way)","","道に迷う。","get lost","","5","1","8","できる日本語 初中級 本冊"
"転ぶ","ころぶ","fall down","","","","","5","1","8","できる日本語 初中級 本冊"
"心配・する","しんぱい・する","worry","","","","","5","1","8","できる日本語 初中級 本冊"
"気がつく","きがつく","notice, realize","","","","","5","1","8","できる日本語 初中級 本冊"
"付く","つく","attach","","ポケットが付いています。","A pocket is attached.","","5","1","8","できる日本語 初中級 本冊"
"見つかる","みつかる","find","","","","","5","1","8","できる日本語 初中級 本冊"
"出る","でる","go out, leave","","駅を出ます。","leave a station","","5","1","8","できる日本語 初中級 本冊"
"乗り換える","のりかえる","change (trains, planes)","","","","","5","1","8","できる日本語 初中級 本冊"
"連絡・する","れんらく・する","contact","","","","","5","1","8","できる日本語 初中級 本冊"
"困る","こまる","be in trouble","","","","","5","1","8","できる日本語 初中級 本冊"
"さっき","","a moment ago","","","","","5","1","8","できる日本語 初中級 本冊"
"しばらく","","in a little while","","","","","5","1","8","できる日本語 初中級 本冊"
"全部で","ぜんぶで","altogether","","","","","5","1","8","できる日本語 初中級 本冊"
"急に","きゅうに","suddenly","","","","","5","1","8","できる日本語 初中級 本冊"
"確かに","たしかに","I am certain that","","","","","5","1","8","できる日本語 初中級 本冊"
"それが……","","That is ….","","","","","5","1","8","できる日本語 初中級 本冊"
"どうしよう","","What should I do?","","","","","5","1","8","できる日本語 初中級 本冊"
"コインロッカー","","coin locker","","","","","5","2","8","できる日本語 初中級 本冊"
"特急","とっきゅう","limited express (train)","","","","","5","2","8","できる日本語 初中級 本冊"
"終点","しゅうてん","final stop","","","","","5","2","8","できる日本語 初中級 本冊"
"終電","しゅうでん","final train","","","","","5","2","8","できる日本語 初中級 本冊"
"タクシー","","taxi","","","","","5","2","8","できる日本語 初中級 本冊"
"急行","きゅうこう","express (train)","","","","","5","2","8","できる日本語 初中級 本冊"
"アナウンス・する","","announce","","","","","5","2","8","できる日本語 初中級 本冊"
"変える","かえる","change","","","","","5","2","8","できる日本語 初中級 本冊"
"安心・する","あんしん・する","relieve (someone's fears), give peace of mind","","","","","5","2","8","できる日本語 初中級 本冊"
"遅刻・する","ちこく・する","be late","","","","","5","2","8","できる日本語 初中級 本冊"
"寝坊・する","ねぼう・する","sleep late","","","","","5","2","8","できる日本語 初中級 本冊"
"戻る","もどる","return","","","","","5","2","8","できる日本語 初中級 本冊"
"すぐ","","immediately","","","","","5","2","8","できる日本語 初中級 本冊"
"びっくり","","surprise","","","","","5","2","9","できる日本語 初中級 本冊"
"本当に","ほんとうに","really, truly","","","","","5","2","9","できる日本語 初中級 本冊"
"もう少し","もうすこし","a little more","","","","","5","2","9","できる日本語 初中級 本冊"
"ゆっくり","","slowly","","ゆっくり話してください。","Please speak slowly.","","5","2","9","できる日本語 初中級 本冊"
"白","しろ","white","","","","","5","もう一度聞こう","9","できる日本語 初中級 本冊"
"窓口","まどぐち","(ticket) counter","","","","","5","もう一度聞こう","9","できる日本語 初中級 本冊"
"～号車","ごうしゃ","number ~ train","","","","","5","もう一度聞こう","9","できる日本語 初中級 本冊"
"～ずつ","","every ~","","","","","5","もう一度聞こう","9","できる日本語 初中級 本冊"
"自然","しぜん","nature","","","","","6","話読聞書","10","できる日本語 初中級 本冊"
"ラベンダー畑","ラベンダーばたけ","Lavender Farm","","","","","6","話読聞書","10","できる日本語 初中級 本冊"
"湿原","しつげん","marsh","","","","","6","話読聞書","10","できる日本語 初中級 本冊"
"牧場","ぼくじょう","ranch","","","","","6","話読聞書","10","できる日本語 初中級 本冊"
"ジャガイモ","","potato","","","","","6","話読聞書","10","できる日本語 初中級 本冊"
"トウモロコシ","","corn","","","","","6","話読聞書","10","できる日本語 初中級 本冊"
"ウニ","","sea urchin","","","","","6","話読聞書","10","できる日本語 初中級 本冊"
"乗馬","じょうば","horseback riding","","","","","6","話読聞書","10","できる日本語 初中級 本冊"
"カヌー","","canoe","","","","","6","話読聞書","10","できる日本語 初中級 本冊"
"楽しむ","たのしむ","enjoy","","","","","6","話読聞書","10","できる日本語 初中級 本冊"
"カニ","","crab","","","","","6","1","10","できる日本語 初中級 本冊"
"着物","きもの","clothing","","","","","6","1","10","できる日本語 初中級 本冊"
"ショッピングセンター","","shopping center, mall","","","","","6","1","10","できる日本語 初中級 本冊"
"水族館","すいぞくかん","aquarium","","","","","6","1","10","できる日本語 初中級 本冊"
"スノーボード","","snowboard","","","","","6","1","10","できる日本語 初中級 本冊"
"船","ふね","ship, boat","","","","","6","1","10","できる日本語 初中級 本冊"
"雰囲気","ふんいき","atmosphere, mood","","","","","6","1","10","できる日本語 初中級 本冊"
"街","まち","town","","","","","6","1","10","できる日本語 初中級 本冊"
"こっち","","this way (informal)","","","","","6","1","10","できる日本語 初中級 本冊"
"そっち","","that way (informal)","","","","","6","1","10","できる日本語 初中級 本冊"
"市内","しない","within the city","","","","","6","1","10","できる日本語 初中級 本冊"
"最後","さいご","last","","","","","6","1","10","できる日本語 初中級 本冊"
"旅館","りょかん","Japanese-style inn","","","","","6","1","10","できる日本語 初中級 本冊"
"朝食","ちょうしょく","breakfast","","","","","6","1","10","できる日本語 初中級 本冊"
"夕食","ゆうしょく","dinner","","","","","6","1","10","できる日本語 初中級 本冊"
"観光地","かんこうち","tourist spot","","","","","6","1","10","できる日本語 初中級 本冊"
"登山","とざん","mountain climbing","","","","","6","1","10","できる日本語 初中級 本冊"
"虫","むし","bugs, insects","","","","","6","1","10","できる日本語 初中級 本冊"
"宿泊","しゅくはく","lodging","","","","","6","1","10","できる日本語 初中級 本冊"
"代金","だいきん","charges, fees","","","","","6","1","10","できる日本語 初中級 本冊"
"内容","ないよう","details","","","","","6","1","10","できる日本語 初中級 本冊"
"なし","","none","","","","","6","1","10","できる日本語 初中級 本冊"
"値段","ねだん","price","","","","","6","1","10","できる日本語 初中級 本冊"
"大人","おとな","adult","","","","","6","1","10","できる日本語 初中級 本冊"
"～付き","つき","~ included","","朝食付き","breakfast included","","6","1","10","できる日本語 初中級 本冊"
"～泊～日","はく～にち","~ nights ~ days","","2泊3日","2 nights 3 days","","6","1","10","できる日本語 初中級 本冊"
"～費","ひ","~ fee","","交通費","transportation fee","","6","1","10","できる日本語 初中級 本冊"
"待ち合わせる","まちあわせる","meet with","","","","","6","1","10","できる日本語 初中級 本冊"
